word,bo,sk,sva,pl,la,ar,tg,ml,krl,fa,hi,en,za,is,uk,ps,sa,id,ta,tcy,ca,da,vi,af,yea,ms,ko,kru,lt,ja,ug,gv,gon,nn,de,nl,lb,az,te,ku,ro,pt,gdb,km,bg,vro,tl,br,et,hu,oc,hy,se,mt,kxv,vep,kfe,gl,ba,sv,bfq,xmf,ur,kfa,kff,kfb,mn,th,lo,my,pci,lv,it,fi,brh,fo,bn,be,ru,mk,cs,he,fr,liv,cy,ga,sq,gd,xub,ka,tr,ny,zu,sl,kn,es,el,vot,yi,fy,tcx,lzz,mjt,as
liver,,ˈpɛtʃɛɲ,qʼwiʒɛ,vɔnˈtrɔ.ba,ˈje.kur,kab.ba.da,dʒiɡær,īral,ˈmɑksɑ,dʒeɡæɾ,,lɪvə(ɹ),tap˥,ˈlɪːvʏr,,,jɐ́.kr̩t̪,ha.ti,i:ɾaɭ,mannə,ˈfe.d͡ʒə,leːvər,ɣaːn˧˧,,tombe,hati,ka̠nd͡ʑa̠ŋ,umbalkʰo,,kã̠nd͡zo̞ː,,eːn,taɾki,ˈleːʋɛr,ˈleːbɐ,ˈleːvər,ˈliəvɐ,,ka:lejamu,,,ˈfi.ɡɐ.du,taɖing,t̥ʰloem,ˈtʃɛrɛn drɔp,ˈmɑsːsː,,ˈɑːvy,ˈmɑks,ˈmaːj,,ljɑɾtʰ,,,,ˈmɑks,i:ru,,bɑˈwɯ̞r,,,tʃχɔntʃχi,,tombe,ka:dʒam,kaleja,iɮəɡ,tap̚˨˩,tap˦˥,ʔəθɛ́,taruṅg,aknas,ˈfeɡato,ˈmɑksɑ,dʒagaɾ,ˈliːvʊɹ,,ˈpʲet͡ʂanʲ,ˈpʲet͡ɕɪnʲ,ˈd͡ʒiɡɛr,ˈjaːtra,,fwa,ˈmɑksɑː,ˈavɨ̞,eː,,,tədlə,ʁvidzli,kaɾadʒiːeɾ,t͡ʃíˈw⁽ᵝ⁾i.ⁿdi,ísiɓîːndi,ˈjèːtra,hīri,ˈiɡado,,ˈmɑksɑ,,,kuɖa:l,dʒigɛri,tʃedɾo,
water,*t͡ɕʰu,ˈvɔda,lits,ˈvɔ.da,ˈa.kʷa,maːʔ,ɔːb,ʋellam,ˈvesi,ɒːb,pɑː.niː,ˈwɔːtə,ɣam˦˨,vaʰtn,wɔˈdɑ,obə,ɐ́p,a.ʔɪr,taɳɳi,ni:ɾə,ˈaj.ɡwə,vand,nɨək̚˧˦,ˈvɑːtər,ni:ɾu,,muɭ,amm,,⟨mi1du⟩,su,ˈuʃtʲə,jeɾ,ˈʋɑtn̩,ˈva.sɐ,ˈʋaːtər,ˈvaːsɐ,su,ni:ɾu,,ˈapə,,ni:r,dẏk,,ˈvesːi,ˈtu.biɡ,ˈduːʁ,ˈʋesi,ˈviːz,,d͡ʒuɾ,ˈt͡ʃaːht͡siː,,eju,ˈvezi,ni:ɾ,ˈaw.ɡa,hɯ̞w,ˈvatːɛn,ni:ɾə,tsʼqʼäri,pɑːniː,ni:ɾə,e:ɾu,i:ɾ,ʊs,naːm˦˥,nam˥˦,jè,nīr,ûːdɛns,,ˈʋesi,di:r,vaʰtn,dʒɔl,vaˈda,vɐˈda,,ˈvoda,,o,ˈve̞ʒ,duːr,ˈɪʃcɪ,ˈujə,ˈɯʃkʲə,ni:ɾə,tsʼqʼäli,ˈsu,ˈma.d͡zí,ámáːnzi,,ni:ɾu,ˈaɡwa,neˈro,ˈvesi,,ˈvɛtər,ni:ɾ,tsʼkʼäri,hamdu,pa.ni
earth,*sa,ˈzɛm,gim,ˈʑɛ.mʲa,ˈter.ra,tur.ba,,mannə,ˈmuɑ,,dʰərtiː,ɜːθ,,jœrð,zeˈmlʲɑ,,,ta.nah,mannə,mannə,ˈtɛ.rə,joːr,ʔɗət̚˧˦,ˈɑːr.də,,bumi,xɯk̚,kʰekʰel,ˈʒʲæːmʲeː,d͡ʑi,,,mannə,,ˈeːɐ̯də,ˈaːr.də,,torˈpɑχ,mannu,,pəˈmɨnt,ˈtɛʁɐ,tukud,,zɛˈmʲa,ˈmɑː,ˈlu.paʔ,,ˈmuld,ˈtɒlɒj,,hɔʁ,,,bʰumi,ˈmɑ,bʰulo:gam,,,juːɖ,,diχä,,mannə,maʈʈi,bʰu:mi,xors,din˧,,mjè,tūk,zɛmɛ,ˈtɛr.ra,ˈmɑː,ɖaga:ɾ,jøːɹ,,zʲaˈmlʲa,zʲɪˈmlʲa,,ˈzɛmjɛ,adaˈma,tɛʁ,ˈmoː,,,ðɛ,,bu:mi,mitsʼä,topˈɾɑk,,ínɬaɓâːtʰi,ˈzɛ̀ːmlja,maɳɳu,ˈtje̞.ra̠,,ˈmɑː,,,koɖə,lɛtʼä,bʰumi,
rotten,,ˈɦɲiliː,mɛkʰwrɛ,ˈzɡɲi.wɨ,ˈpu.ter,faː.sid,,,ˈlɑho,,,ˈɹɑtn̩,,,,,,,,,,rɔdən,mʊwk͡p̚˧˨ʔ,,,,s͈ʌ̹k̚t͈a̠,,,kɯ̟ᵝsa̠ɾɯ̟ᵝ,,,,,faʊ̯l,rɔt,,,,,ˈpu.tred,ˈpo.ðɾɨ,,,,ˈmætæ,,,ˈmædɑ,ˈroɦɒtː,,pʰəˈtɑt͡s,,,,ˈlɑho,,ˈpoðɾe̝,sɪ̞ˈrɪ̞k,,,ʔɔrädili,,,,,,naw˥˩,,poʊʔ,,,,ˈmætæ,,,,ɣnʲiˈɫɨ,ɡnʲɪˈloj,,ˈzɦɲɪliː,,puʁi,ˈmæːrgɑ,,ˈl̪ˠɔfˠə,,,,dämpʼäli,,,,ˈɡníːw,,,ˈsapços,ˈlɑho,,,,χtsäpʰɛri,,
snake,*zbrul,ˈɦat,hwidʒ,vɔŋʂ,ˈan.ɡʷis,θuʕ.baːn,mɔːr,,ˈkiærmis,mɒːɾ,sɑ̃ːp,ˈsneɪk,ŋɯ˧˩,ˈstnauːkʏr,,,s̪ɐɽ.pɐ́,,,,ˈseɾp,,zan˧˦,slɑŋ,,ula(r),pe̞ːm,,ɡʲiːˈʋaːtʲeː,pemi,jilɑn,,,,ˈʃlaŋə,slɑŋ,ʃlaːŋ,,,,ˈʃarpe,ˈkɔ.bɾa,,bs´,zmiˈja,ˈhusː,,ˈnaɛr,ˈmɑdu,ˈkiːɟoː,,ɔt͡sʰ,ˈkea̯rpmaʃ,,,ˈgɑd,,ˈsɛɾpe̝,jɯ̞.ˈɫɑn,ˈʊrm,,gvɛri,sãp,,,,mɔɢɔi,ŋuː˧,ŋuː˦˥,mwè,,tʃūska,serˈpɛn.te,ˈkæːrme,,,ʃɑp,zʲmʲaˈja,zmʲɪˈja,,ɦat,naˈχaʃ,sɛʁ.pɑ̃,ˈuːʃkɑ,nei̯dr,ˈn̪ˠæhəɾʲ,ˈɟ͡ʝaɾpəɹ,,,gvɛli,jɯ.ˈɫɑn,ˈⁿd͡ʒó.ka,íɲôːɠa,ˈkàːtʃa,,serˈpjente,ˈfiði,ˈmɑto,ʃlaŋ(ɡ),,,tsʼitsʼilä,,xap
rain,*t͡ɕʰar.pa,daːʃc,utʃχɛ,dɛʂt͡ʂ,ˈplu.wi.a,,bɔːˈrɔːn,maɻa,ˈviːmɑ,bɒːˈɾɒːn,bɑː.ɾɪʃ,ɹeɪn,fɯn˨˦,ˈrɪkniŋk,dɔʃt͡ʃ,bɑˈrɑn,,,maɻai,baɾsa,ˈplu.ʒə,ˈʁɑɪ̯ˀn,mɨə˧˧,rɪə̯(n),maɭe,hud͡ʒan,pi,tʃe:p,ljɛˈtʊs,same,,flʲaː,piɾ,,ˈʁeːɡən,ˈreː.ɣə(n),ʀeːn,jaɣˈɯʃ,ʋarʂam,,ˈplʷaje,ˈʃu.vɐ,tukud,b̥ʰliaṅ,dɤʃt,ˈvihm,,,ˈʋihm,ˈɛʃøː,ˈplɥɛ(d)ʒo,ɑnd͡zˈɾɛv,ˈarːviː,ˈʃɪtɐ,bela,ˈvihm,mai,ˈt͡ʃuβja̝,jɑm.ˈʁɯ̞r,rɛŋn,me,tʃʼvɛmä,bɑrɪʃ,maɭe,ʋa:na,ʋa:na,,fon˩˩˦,,mó,vāni,liɛ̂tus,ˈpjɔddʒa,ˈsɑde,pɛɾ,ɹɛkn,,doʂt͡ʂ,doʂtʲ,dɔʃt,ˈdɛːʃc,mɔːˈtˀɔːr,plɥi,ˈviːm,ɡlau̯,ˈbˠɑːʃtʲəx,ʃiː,ˈɯʃkʲə,maɭi,tsʼvimä,jaːˈmúɾ̝̊,ˈᶬvú.ɽa,ímvûːla,ˈdə́ʃ,maɭe,ˈʎubja,vɾoˈçi,ˈsɑto,,rai̯n,meɖutti,mtʃʼimä,dʒaɖa:,
sharp,,,bæsr,ˈɔ.strɨ,ˈaː.ker,ħaːdd,,,ˈterævæ,teːz,,ʃɑːp,,xʷasː,,,,,,,əz.moˈlat,,sak̚˧˦,,,,,,ɐʃt̪ˈrʊs̪,,,,,,ʃarf,sxɛrp,,,,,as.kuˈt͡sit,a.fi.ˈa.du,,mut,osˈtɤr,ˈtːerːæv,,,ˈterɑʋ,ˈeːlɛʃ,,suɾ,,,,ˈterɑv,,,ʏtˈkɪ̞r,,,kʼväntʰiri,,,,,,kʰom˧,,t͡ɕʰʊ̀ɴ,,as,affiˈlato,ˈteræʋæ,,ˈkvasːʊr,,ˈvostrɨ,ˈostrɨj,,ˈostriː,,a.fi.le,ˈvɑimi,,ɟeːɾˠ,,,,bäsri,,,,ˈòːstər,,aˈɡudo,kofteˈros,ˈterævæ,,,,mtʃʼkʼirulä,,
swim,,ˈpɫaːvac,likʰni,ˈpwɨ.vat͡ɕ,ˈna.toː,,,neentuga,ˈuijɑ,,,swɪm,,ˈsɪnta,,lɑmbəl,,,neentə,mi:ndaɾa,nəˈda,svœmə,ʔɓəːj˧˧,,maɳa,,sʰujʌ̹ŋɦa̠da̠,o:gna,ˈpɫɒʊ̯ˑkʲtʲɪ,ɡ,,,pohem,²sʏmjɑ,ˈʃvɪmən,ˈzʋɛ.mə(n),ˈʃwɑmən,,i:du,,,nɐˈðaɾ,tukud,hael,,ˈoitmɑ,,,ˈujumɑ,ˈuːsik,,lɔˈʁɑl,ˈvuo̯ɟɟah(t),,,ˈujudɑ,ni:tʃal,,,,ni:ndə,ntʃuruä,,mi:ɾodu,i:ta,po:nim,seɮəx,waːj˥˩.naːm˦˥,,jèkú,tūk,pɛ̄ldɛ̂ːt,nwoˈtare,ˈuidɑ,beʂoling,,,,ˈplavətʲ,,ˈplavat,,na.ʒe,ˈvʊigɨ,ˈnɔvjɔ,sˠn̪ˠɑːvˠ,nɔˈtɔj,,ni:nɖʒu,tsurvä,,,,ˈplaːʋati,i:dʒo,naˈdaɾ,,ˈuʝuɑ,,ˈsvɪm.mə,ni:tʃal,ɔntʃviru,ho:gpo,
day,*ȵi.ma,,lädɛʁ,d͡ʑɛɲ,ˈdi.eːs,jawm,rɵːz,,ˈpæivæ,ɾuːz,d̪ɪn,deɪ,ŋon˧˩,ˈtaːɣʏr,ˈdɛnʲ,wrad͡z,d̪i.n̪ɐ́,,,,ˈdi.ə,døjn,ŋaj˨˩,daχ,,hari,,,,nʲiti,,,,,tɑːk,dɑx,daːχ,,,ˈɾoʒ,zi,ˈdi.ɐ,,t̥ʰṅai,,ˈpːæiv,,ˈdɛj,ˈpæeʋ,ˈnɒp,,ɔɾ,ˈpea̯jːviː,,,ˈpæiv,,ˈd̪iɐ,tæwˈlɪ̞k,,,dʁä,,,,,otər,wan˧,wan˦˥,nḛ,,,ˈd͡ʒorno,ˈpæiʋæ,,ˈtɛaːvʊɹ,,,ˈsutkʲɪ,,dɛn,,ʒuʁ,ˈpæːvɑ,dɨːð,l̪ˠɑː,,,,dʁɛ,ɡyn,ˈt͡sí.ku,ûːsûːɠu,,,ˈdia,,ˈpæivæ,tɔɡ,,,dʁä,,din
hit,,ˈudri̯ɛc,liqʼɛr,uˈdɛ.ʐat͡ɕ,,dˁa.ra.ba,,,ˈlyːvːæ,zæˈd̪æn,ˈmɑːɾ.nɑː,hɪt,,stlauː,,,,,,,kol.pəˈʒa,slɔː,ʔɗəp̚˧˨ʔ,,,,t͡ɕʰida̠,,,ɯ̟ᵝt͡sɨᵝ,,,,,ˈʃlaːɡən,ˈraːkə(n),,,,,,ɡow.pe.ˈaɾ,,vāy,,ˈlɨːmæ,,,ˈløːmɑ,ˈyt,,χəˈpʰɛl,,,,ˈlødɑ,,,,,,mɛgämä,marna,,,,,tiː˧,,jaɪʔ,,,kolˈpire,ˈlyødæ,,,,,ʊdɐˈrʲætʲ,,,,fʁa.pe,ˈrɑbːɨ,ˈtarɔ,,,ˈbuɪl,,rtʼqʼmä,,,,,,,,ˈløː,,,,gɛtʃämu,,
live,,ˈʒic,lidrɛ,ʐɨt͡ɕ,ˈwiː.woː,ʕaː.ʃa,,,ˈelie,,d͡ʒina,lɪv,,ˈlɪːva,,,d͡ʑíː.ʋɐ.t̪i,hi.dup,,,ˈviw.ɾə,leːvə,səwŋ͡m˧˦,,,hidop,ˈsʰa̠ːɭda̠,,ɡiˈʋæntɪ,ikʲiɾɯ̟ᵝ,,,,,ˈleːbən,ˈleːvə(n),ˈliə̯vən,,,,trəˈi,viˈveɾ,,nau,ʒiˈvɛjə,ˈelæmæ,ma.ˈbu.hay,,ˈelɑmɑ,ˈeːl,,ɑpˈɾɛl,ˈea̯lliːh(t),ɛˁːʃ,,ˈelædɑ,,,,leːva,,rinä,,,,,,miː˧.t͡ɕʰiː˧.wit̚˦˥,,,,dzîːvuôt,ˈvi.ve.re,ˈelæː,,,,,ʐɨtʲ,,ʒiːt,,vivʁ,ˈje̞lːɨ,bɪu̯,mˠaɾʲ,jɛˈtɔj,,,tsχɔvrɛbä,,,,ʒiˈʋeːti,,biˈbiɾ,ˈzo,ˈelæː,,ˈlɪbjə,,skʰidälä,,
red,*dmar.po,ˈt͡ʃɛrvɛniː,tsʼərni,t͡ʂɛrˈvɔ.nɨ,ˈru.be.us,ʔaħ.mar,,tʃumappə,ˈruskie,ɢeɾˈmez,lɑːl,ɹɛd,,ˈrøyːðʏr,t͡ʃeˈrwɔnei̯,sur,ɽu.d̪ʱi.ɽɐ́,,cem,kempu,ˈrɔt͡ʃ,røːd,ʔɗɔ˧˩,roːi̯,tʃo:pə,merah,p͈a̠ɭɡa̠tʰa̠,kheso,rɐʊˈdoːnɐs,akaki,,,eɾɾag,ræʉ,roːt,roːt,ʀəʊt,,eɾupu,,ˈro.ʃu,vɨɾ.ˈmɐ(j).ʎu,tukud,k̥rhm,tʃɛrˈvɛn,ˈverːev,pʊˈla,,ˈpunɑne,ˈpiroʃ,,kɑɾˈmiɾ,,ˈɐħmɐr,netuɾi,ˈrusked,netiɾ,beɾˈmeʎo̝,,røːd,keppə,tʃʼitʰä,lal,tʃo:pə,eɾɾa,jeruɖi,,dɛːŋ˧,,nì,key,sâɾkans,ˈros.so,ˈpunɑinen,xi:sun,,,t͡ʂɨˈrvonɨ,ˈkrasnɨj,,ˈt͡ʃɛrvɛniː,,ʁuʒ,ˈpunːi,koːχ,ˈdʲaɾˠəɡ,kuc,ˈtʲɛrɛk,tissəgaɳɖa:ngi,tsʼitʰɛli,kɯɾmɯzɯ,,,ərˈdɛ́tʃ,kempu,ˈroxo,ˈkocinos,ˈkɑuniz,,,keppə,mtʃʼitʰä,e:so,ɹɔ.ŋa
vomit,,,litʼχunɛ,vɨ.mʲɔˈtɔ.vat͡ɕ,ˈwo.moː,ta.qaj.ja.ʔa,,,ˈoksenduɑ,,,ˈvɒmɪt,,ˈaiːla,,,,,,,vo.miˈta,,non˧˧,,,muntah,ke̞uda̠,,,,,,,,ˌyːbɐˈɡeːbən,,ˈkɑtsən,ɡusˈmɑχ,,,,vu.mi.ˈtaɾ,,k̥ʾuat,,ˈosːsːɤntɑmɑ,,,ˈoksendɑmɑ,ˈhaːɲ,,,,,,ˈoksetɑ,,,,,,rtsʼqʼiälä,,,,,,ʔaː˧.t͡ɕia̯n˧,,ʔàɴ,,,vomiˈtare,ˈoksentɑː,,,,,blʲɪˈvatʲ,ˈpɔvraca,,,vɔ.miʁ,ˈoksnɨ,,ˈaʃɪɟ,,,,rtsʼqʼɛvä,,,,,,,,ˈɤhsɤnɤɑ,,,,ɔntʰχɔru,,bɔ.mi kɔ.ɹa
flower,*me.tok,ˈkvɛt,muʁwæ,kfʲat,floːs,zah.ra,ɡul,,ˈkukːɑ,ɡʊl,pʰuːl,ˈflaʊ.ə,,plouːm,ˈkʋʲitkɐ,ɡwəl,púʂ.pɐ,,,,ˈflɔ,,hwaː˧˧,,,buŋə,k͈o̞t̚,,,pana,ɡyl,,,bluːm,ˈblyːtə,blum,blum,t͡ʃiˈt͡ʃæk,,,flo̯are,ˈfloʁ,,p̥ʰkā,t͡svʲat,ˈhæitsːeʔ,,blœ̃w,ˈlilː,ˈviraːɡ,,t͡sɑˈʁik,ˈraːssiː,ˈfjuːrɐ,,ˈænik,,,sæsˈkæ,blʊ.ma,,pʼɛuli,pʰul,,,,,dɔːk̚˨˩,dɔːk˨˩ mai˥˦,páɴ,,,,ˈkukːɑ,,ˈblɔuma,pʰul,,t͡svʲɪˈtok,,ˈkvjɛt,,flœʁ,ˈputʲkɨz,ˈblɔdɨ̞n,bˠl̪ˠɑː,ˈlulɛ,,,qʼvävili,tʃɪˈtʃɛc,ˈɗu.(w)a,ímbaːli,ˈtsʋéːt,,ˈfloɾ,ˈanθɔs,ˈkukːɑ,blʊm,blom,,pʰukʰiri,,pʰul
stone,*rdo,ˈkamɛɲ,bætʃ,ˈka.mʲɛɲ,ˈla.pis,,sæŋ,kallə,ˈkivi,sæŋɡ,pət̪.t̪ʰəɾ,stəʊn,,steitn,,,,,kallə,kallu,ˈpe.dɾə,,ʔɗaː˧˦,,kallu,batu,to̞ːɭ,pakʰna,,iɕi,tɑʃ,klaːx,baɳɖa,,ʃtaɪn,steːn,ʃteːn,,ɾa:ji,ˈkɛvɯɾ,,ˈpɛ.dɾɐ,kanɖ,t̥ʰm,ˈkamək,ˈkːivi,ba.ˈto,,ˈkiʋi,ˈkøː,ˈpɛjɾo,kʰɑɾ,ˈkea̯ðːkiː,,ʋali,ˈkivi,kal,ˈpɛðɾɐ,tɑʂ,,kallə,kʰuä,,kallə,ɾa:j,gunɖə,,hin˩˩˦,,t͡ɕaʊʔ,kel,,ˈpjɛtra,ˈkiʋi,xal,,,,ˈkamʲɪnʲ,,ˈkaːmɛn,ˈeven,pjɛʁ,ˈkiv,ˈkarɛɡ,klˠɔx,ɡuɾ,,kallə,kʰvä,tɑʃ,ˈmʷa.ɽá,íːtʃe,ˈkàːmən,kallu,ˈpjedɾa,,ˈtʃivi,,stiə̯n,kaɾs,kʰvä,guga,pa.tʰɔɹ
turn,,,lisipʼ,,ˈwer.toː,,,,ˈkiændiæ,ɡæʃtæn,,tɜːn,,,,tɑwaˈwəl,,,,,ʒiˈɾa,drajə,,,,,ˈto̞ːɭda̠,,,,,,,,ˈdʁeːən,ˈdraːi̯ə(n),,,,,,,,,,ˈkːæːntmæ,,,ˈpøːrɑmɑ,ˈforoɡ,,ʃəɾdʒˈvɛl,,,,ˈkæroutɑ,,,,,,rtʰäpʰä,,,,,,mun˩˩˦,,l̥ɛ̰,,,dʒiˈrare,ˈkæːntyæ,,,,,vrɐˈɕːat͡sːə,,ˈtot͡ʃɪt,,tuʁ.ne,ˈkiːe̞rɨ,,kɑsˠ,,,,tʼriäli,dœnmec,,,,,xiˈɾaɾ,,ˈtʃæːntæː,,,,ɔkʰtʰu,,
skin,,ˈkɔʒa,kʼæn,ˈsku.ra,ˈku.tis,d͡ʒild,pɵːst,toli,ˈnɑhkɑ,poːst,t̪ʋə.t͡ʃɑː,skɪn,naŋ˨˦,huːð,,,,,to:lə,tʃeɾma,ˈpeʎ,,zaː˧˧,,to:lu,kulet,sʰa̠ɭɡa̠t̚,tʃapʈa,ˈôːd̪ɐ,,,ˈkraːɣən,to:l,,haʊt,ɦœy̯t,hæu̯t,dæˈri,to:lu,ˈt͡ʃɛɾm,ˈpjele,ˈpɛ.lɨ,tal,s̥paek,ˈkɔʒə,ˈnɑhkː,ba.ˈlat,ˈkʁoːχɛn,ˈnɑhk,ˈbøːr,pɛl,mɑʃk,ˈlijːkiː,ˈdʒɪldɐ,,ˈnɑhk,to:lu,,tʲi.ˈrɪ̞,hʉːd,to:lə,tʼqʼɛbi,t̪ʋətʃaː,to:lə,to:l,to:l,arʲs,pʰiw˩˩˦.naŋ˩˩˦,,ʔəjè,tōl,âːda,ˈpɛlle,ˈiho,sil,,,ˈskura,ˈkoʐə,,ˈkuːʒɛ,ɔʁ,po,ˈnoːgɨ,kroːɨ̯n,ˈkɾˠacən̪ˠ,ləkuɹə,,to:lə,kʼäni,,ˈkʰu.ᵑɡú,isíkʰuːmba,ˈkòːʒa,togalu,,ˈðɛɾma,ˈiho,heɪt,,tu:ɾs,tʼkʼɛbi,tʃa:na,sal
seed,,ˈsɛmɛnɔ,læʃi,naˈɕɛ.ɲɛ,ˈseː.men,,tuxm,vita,ˈsiemen,t̪ʰoχm,,siːd,,fraiː,ˈsʲimjɐ,,bíː.d͡ʑɐ,,ʋedə,bi:dʒa,ʎəˈvo,sɛːd,hot̚˧˨ʔ,,kuɾu,bəneh,ɕ͈i,bi:,ˈsʲeːklɐ,ta̠ne̞,,,vidʒdʒa,frøː,ˈzaːmən,zaːt,zoːm,toˈχum,ʋittanam,ˈtov,səˈmɨntsə,sɨˈmẽtɨ,tukud,g̥rāp´būj,ˈsɛmɛ,ˈsːeːmeʔ,,,ˈseːme,ˈmɒɡ,,sɛɾm,,zɛrˈrɪːja,,ˈsemen,ʋitu,seˈmɛnte̝,ʊ̞rˈɫʊ̞q,,pittə,tʰäsi,,kuɾu,pe:ɳɖku,ʋittanam,ur,ma˦˥.let̚˦˥.pʰan˧,,ʔəsḭ,vittid,,ˈseme,ˈsiemen,bedʒdʒ,fɹɛaː,,naˈsʲenʲːe,ˈsʲemʲə,,ˈsɛmɛno,,sə.mɑ̃s,ˈsiːe̞mgɨz,haːd,ʃiːl,ˈfaːɾ,,bissə,tʰɛsli,,ˈᵐbé.(w)u,ímbêːwu,ˈsèːmɛ,bede,,ˈspo̞ro̞s,ˈseːmeː,ˈzɔɪ̯mn̩,,pittə,tʰäsi,bʰumi,ɡu.ti
dust,*tʰal.ba,,pʼisw,kuʂ,ˈpul.wis,ɣu.baːr,,,ˈpøly,,d̪ʱuːl,dʌst,,rɪːk,,,d̪ʱuː.l̪i,,,,ˈpols,støːv,ʔɓuj˧˨ʔ,stɔf,,haboʔ,mʌ̹nd͡ʑi,,,,,dʒaun,,,ʃtaʊ̯p,,ʃtəps,toz,,,,ˈpɔ,,dʰūlī,,ˈtːolm,,,ˈtolm,ˈpor,,pʰoˈʃi,ˈkavːja,,,ˈpøly,,pɔ,sɑŋ,dam,,tʼvɛri,d̪ʱuːl,,,,,fun˨˩,,pʰòʊɴ,,,ˈpol.ve.re,ˈpøly,,,,pɨɫ,pɨlʲ,,,,pu.sjɛʁ,ˈpɨrm,ɬuːχ,dʲanˠəx,,,,mtʼvɛri,toz,ˈfu.ᵐbí,úːtʰuːli,ˈpráːx,,ˈpol.bo,,ˈtolmu,,,,mtʼvɛri,,dʱu.li
all,,ˈfʃɛtɔk,mæg,ˈfʂɨ.stɛk,,kull,,ella,ˈkɑikːi,hæˈme,səb,ɔːl,,,,,s̪ɐ́ɽ.ʋɐ,sə.mu.a,ella:m,ma:ta,ˈtot,alə,,,nanga:ɭə,səmuə,ˈmo̞ːdɯn,majin,ˈvʲɪ.sɐs,sɨᵝbe̞te̞,,,bottig,,al,ɑl,,,anta,,tot,ˈto.ðu,tukud,,,ˈkːɤikː,,,ˈkɤik,ˈmindɛn,tut,bɔˈlɔɾ,,,hara,ˈkɑik,ella:m,,ˈbʏ̞.tæ,ˈalˌa,ella,ärdzä,,ella,anta:,ma:k,,,,ʔálóʊɴ,tūk,,ˈtutto,ˈkɑikːi,kull,ˈat.lʊɹ,,,vʲesʲ,ˈsitɛ,ˈfʃɪxɲɪ,kol,tus,ˈɑmɑː,ɪˈɡɨːd,ˈɪlʲə,ɡjiθ(ə),,o:ʈəja,qʼvɛlä,byˈtyn,,,ˈʋə́s,ella,ˈtodos,,ˈkɤikːi,ˈalə,,oʋʋoɖimo,iri,go:ʈahi:,xɔ.kɔ.lʊ
woman,,ˈʒe.na,zuräl,kɔˈbʲɛ.ta,ˈfeː.mi.na,ʔim.ra.ʔa,,peɳɳə,ˈnɑine,,ˈɔːɾət̪,ʊ,,ˈkʰɔːna,ˈʒʲinkɐ,ʂəˈd͡za,s̪t̪ɽíː,,peɳ,pondʒa,ˈdɔ.nə,ˈkʰvenə,fu˧˨ʔ nɨ˦ˀ˥,,panitʃi,wanita,jʌ̹sʰʌ̹ŋ,mukka,ˈmoːtʲɛrʲɪs,õ̞nːa̠ no̞ çi̥to̞,,bɛᵈn,muɾtad,²kʋɪnːə,fʁaʊ̯,vrɑu̯,fʀa,,stɾi:,,feˈmeje,muˈʎɛɾ,tukud,s̥rī,ʒɛˈna,ˈnɑːnɤ,,,ˈnɑine,ˈnøː,ˈfenno,kin,ˈnisuː,,ɖoli,ˈnɑine,pemagu,muˈʎɛɾ,qɑˈtɯ̞n,ˈkvɪnːˌa,emma:ti,ɔsuri,,ponna:ɭə,na:taʋa:d,ba:ji,,pʰuː˥˩.jiŋ˩˩˦,pʰuː˨˩ ɲiŋ˦˥,méɪɴma̰,tūk,,ˈdɔn.na,ˈnɑinen,njaaɽi,,,ʐanˈt͡ʂɨna,ˈʐɛnʲɕːɪnə,ˈʒɛna,ˈʒɛna,,fam,ˈnɑi,,bʲanˠ,ˈɡɾua,b̥ɛn,pəɳakkən,kʰäli,kaˈdɯn,ˈmká.zi,úm̩fâːzi,ˈʒèːnska,hengasu,muˈxeɾ,ʝiˈne̞ka,ˈnɑin,,,tusmo:gə,ɔχɔrdʒä,teldu,maɪ.ki ma.nuʱ
far,,,dʒwɛdiä,daˈlɛ.kʲi,ˈpro.kul,ba.ʕiːd,,,ˈetæhænæ,,d̪uːɾ,fɑː,,,,ˈləre,,,,,ʎuˈɲa,,saː˧˧,,,d͡ʒaoh,,,,,,,,,fɛʁn,vɛr,,uˈzɑχ,,,deˈpar.te,ˈlõ.ʒɨ,,c̥ʰṅāy,dəˈlɛtʃɛn,ˈkːɑvːɤn,,,ˈkɑugel,ˈmɛsːɛ,,hɛˈru,,,,ˈedɑhɑn,,,ɑˈɫɯ̞θ,,,ʃɔri,,,,,χɔɬ,klaj˧,,wékwà,,tâːls,lonˈtano,ˈkɑukɑnɑ,,,,daˈlʲokʲi,dɐˈlʲɵkʲɪj,,ˈdalɛkiː,ʁaˈχɔk,lwɛ̃.tɛ̃,ˈkougɨn,pɛɬ,ˈfˠɑd̪ˠə,,,,ʃɔri,uˈzac,,,ˈdàːlɛtʃ,,,makriˈa,ˈkɑukɑlːɑ,,,,mɛndrä,,
