,nv,ku,mg,tn,ca,kfe,lo,bfq,bg,mk,an,si,hu,ta,nn,sv,kfa,tt,kk,rm,gon,mh,es,sa,gd,ne,id,ky,cs,ks,ae,om,pt,ar,av,kxv,el,kff,ko,kw,ps,my,kl,br,gdb,sc,fi,af,se,am,qu,gn,eu,th,wo,gl,ab,gv,kfb,bn,ga,yi,is,fo,co,as,ro,mi,sl,ay,wa,dz,ii,pci,ha,oc,tr,az,ch,brh,nb,os,hi,pl,ru,ht,pa,ba,ug,sd,aa,tk,mjt,vi,xub,it,tg,rw,kn,mt,tcy,ty,xmf,hy,la,et,bm,te,jv,ml,lv,zu,st,de,sq,lt,lb,gu,ee,ki,fr,za,ja,ka,da,fa,mn,sk,he,nl,mr,ny,xh,cy,yea,sva,km,tl,kru,ur,iu,ce,sw,cv,tcx,fy,uk,uz,lzz,bo,ms,li,be
zu,33.39087,28.44318,29.25,18.76668,26.63445,23.56276,28.13783,23.1383,24.77515,24.51308,24.02777,32.85714,28.00543,23.17404,27.69521,27.6316,21.50602,26.72619,28.00252,25.66964,24.36908,34.58333,23.2194,24.04732,29.10019,21.66666,21.13228,25.0,25.17932,29.375,30.0,26.0,24.15129,24.19438,27.5,22.70411,22.72156,23.57324,27.36456,29.5378,25.66913,28.06584,N/A,27.72561,25.05526,18.51731,23.33789,29.04104,21.66148,23.87869,15.0,22.66666,22.58175,27.9221,26.64285,24.48473,23.47222,29.14236,24.30725,25.5102,28.95802,27.11979,26.1216,26.99738,23.73076,25.78191,23.92764,16.66666,25.27409,9.375,30.68452,28.34077,34.02777,28.1325,27.0,25.59355,26.99911,25.93981,N/A,27.65538,26.47492,23.28846,27.89091,26.0691,26.1531,29.0,24.97194,27.09883,27.52651,19.64285,25.55555,28.21076,22.44925,28.31067,22.38524,23.06961,26.60172,14.56764,21.97816,25.75252,22.07443,36.66666,25.59832,27.39276,25.0841,28.5484,27.91666,22.25235,30.0,24.44789,24.72289,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
st,N/A,15.83333,N/A,N/A,22.14285,16.42857,N/A,15.0,17.85714,N/A,N/A,N/A,20.83333,18.57142,15.0,N/A,15.0,N/A,N/A,N/A,26.25,N/A,N/A,19.28571,N/A,N/A,N/A,N/A,20.0,N/A,N/A,N/A,23.33333,N/A,N/A,N/A,16.66666,18.33333,29.0,N/A,N/A,12.85714,N/A,N/A,20.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,32.72727,N/A,25.0,N/A,N/A,29.54545,N/A,20.0,26.25,17.85714,17.14285,N/A,19.28571,25.0,N/A,16.42857,N/A,N/A,N/A,N/A,25.55555,N/A,N/A,N/A,16.25,N/A,20.71428,N/A,N/A,N/A,27.77777,17.85714,N/A,N/A,32.5,N/A,N/A,N/A,N/A,20.71428,24.28571,14.375,15.0,19.28571,N/A,13.57142,29.5,17.85714,N/A,17.85714,21.42857,19.375,N/A,N/A,29.54545,N/A,19.28571,N/A,21.11111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
de,23.72834,19.1841,25.56051,22.90798,20.23307,22.99412,22.5455,22.41515,19.39217,21.09214,23.54166,22.5,21.82193,22.17297,15.3198,14.21453,22.39443,23.10921,23.42897,17.81625,22.74066,23.87613,20.59686,21.95177,23.15336,32.5,19.9813,20.08333,20.6255,25.83333,20.55555,23.75,21.30734,21.66059,28.57142,22.1096,20.58888,23.49502,24.76393,18.79979,21.80529,24.03784,17.22222,20.7652,21.60697,18.72462,21.12621,13.29605,22.18739,22.55448,22.5,22.08333,21.44084,22.49829,21.33928,20.71186,26.12103,21.72115,22.83909,21.97586,22.9601,6.88102,17.60252,18.32383,23.97727,21.54151,20.23508,19.375,19.88836,23.68055,20.24966,28.6003,25.98958,22.93923,23.125,20.49061,23.30497,23.04248,25.55555,20.91801,17.11436,23.88888,21.52988,21.59828,21.5416,24.68452,21.16396,23.59774,23.48735,21.75,27.5,23.65126,22.22653,22.92302,23.14702,20.89832,19.41989,24.03819,22.77483,21.74551,22.86256,22.85714,24.30225,21.20567,20.94972,21.1927,27.90178,23.55585,22.77777,23.14879,19.15628,27.20166,23.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sq,24.45601,19.56458,26.39136,24.725,20.10797,23.69921,21.42773,22.54825,19.36621,19.54764,24.38888,26.0,20.96284,21.68672,19.67774,20.15449,22.40906,28.59375,20.61172,14.90079,22.43966,24.08994,20.45842,21.3076,21.55698,27.5,20.20043,N/A,21.15366,32.0,20.0,24.375,20.84735,22.84085,20.83333,21.35387,20.88434,24.27216,23.82123,20.26022,20.7404,22.74475,32.5,20.65463,22.68077,24.21651,22.05114,20.73565,23.15491,22.47527,24.33333,29.375,18.66947,21.51092,19.03571,21.68177,23.14087,19.82106,23.39955,22.3466,21.3831,20.71373,22.78764,22.83656,16.875,22.14093,19.06647,N/A,19.63971,27.77777,21.5625,26.78645,24.2967,21.7123,15.0,19.30114,22.05279,22.35394,N/A,20.97432,19.40811,22.77777,22.09575,21.29548,21.31202,23.16847,23.13205,21.94641,20.58254,17.5,N/A,21.87806,23.0943,21.94997,22.92371,20.08595,20.38672,24.90625,22.57617,21.25042,23.20699,N/A,23.80798,22.06468,20.80342,22.83024,19.24603,24.35428,N/A,22.73361,20.8614,26.44055,17.5,21.25265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lt,26.46413,21.26315,27.98115,23.73183,21.65472,22.17053,27.66367,21.87693,17.63089,19.13792,19.16666,35.55555,24.68233,22.66061,21.48183,22.61013,21.80508,24.9375,23.28619,22.5,22.95406,23.63636,20.99881,19.51191,24.82122,26.25,20.85938,26.81818,19.84485,N/A,23.33333,27.22222,21.99267,22.63685,21.42857,22.27017,19.46408,23.02751,24.3859,22.55125,24.35735,26.29084,N/A,23.28832,23.29989,21.00803,21.11218,24.033,21.33552,24.64764,26.91666,21.75,22.54509,26.73156,24.29166,21.4913,27.25,24.82682,22.88661,22.01844,24.6258,21.73955,20.77096,21.36902,25.38461,23.57501,21.05196,N/A,18.15163,28.33333,23.42424,28.30668,31.37257,25.93249,19.44444,21.10186,23.74163,23.31985,15.90909,23.90785,20.57473,22.0,22.27722,20.09235,19.16307,21.21933,23.5243,22.44207,23.43924,22.75,20.55555,25.5747,21.63587,26.19417,21.91222,19.49986,22.35765,22.26486,22.24397,22.38591,21.10157,N/A,23.82491,22.95939,19.63302,24.50974,21.875,21.51439,N/A,21.31496,13.33644,25.07225,23.75,21.91898,23.44027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lb,24.76999,19.94297,26.0863,24.51512,20.39715,23.37505,21.70462,24.61009,20.20719,21.7086,22.47023,22.5,21.8743,24.01005,16.59548,14.67848,23.94951,25.74074,22.13949,11.61616,22.60566,21.37074,20.98431,22.73754,23.40697,31.25,21.4148,N/A,20.63031,25.83333,17.22222,21.25,21.32946,22.48825,32.5,23.89065,21.4396,24.95128,24.03804,19.54365,22.04316,24.082,21.42857,20.31116,22.40319,19.30555,21.79967,13.27461,23.53902,21.88139,20.0,20.69444,22.73275,22.08984,20.0744,21.41102,24.97842,21.93158,23.15433,21.35743,22.76153,10.06349,18.49567,18.72096,22.5,21.94561,20.93258,N/A,20.21212,25.27777,19.64826,31.80555,24.98384,22.50087,21.875,20.02121,23.28183,23.0023,19.0,20.86399,15.09429,24.23611,21.68879,21.6943,21.84972,23.74007,21.58399,23.64536,22.68068,24.91269,25.71428,23.27788,24.03992,22.28034,24.37106,21.15232,18.73616,21.74999,24.42753,23.34491,24.17558,21.42857,25.16739,20.79465,21.35676,22.73466,25.9375,25.10255,24.5,24.44326,19.53368,27.85851,20.83333,10.42211,20.4332,22.46779,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gu,N/A,21.875,N/A,N/A,30.55555,28.125,N/A,33.5,17.85714,21.875,N/A,N/A,24.28571,26.875,N/A,24.28571,27.14285,N/A,24.16666,N/A,23.88888,N/A,30.0,23.125,28.125,N/A,N/A,N/A,24.375,N/A,N/A,N/A,28.125,25.625,N/A,32.5,32.5,30.0,22.5,N/A,15.0,27.0,N/A,22.85714,21.42857,23.75,30.625,N/A,31.5,N/A,N/A,N/A,N/A,18.33333,N/A,N/A,N/A,21.42857,30.625,N/A,25.71428,20.0,28.75,30.0,N/A,11.42857,23.125,N/A,21.25,N/A,N/A,N/A,N/A,26.875,N/A,27.5,18.33333,18.33333,N/A,22.14285,N/A,24.375,0.0,23.75,23.75,N/A,N/A,25.0,N/A,N/A,N/A,N/A,26.875,29.28571,26.25,28.88888,22.5,N/A,28.33333,N/A,35.55555,N/A,20.71428,29.28571,28.125,23.33333,N/A,32.77777,N/A,24.28571,30.0,28.125,N/A,22.85714,22.85714,N/A,17.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ee,33.125,26.00446,20.0,20.0,22.36283,24.55081,23.26631,23.44603,24.22069,23.14335,N/A,N/A,24.61532,23.46378,22.36061,23.48678,25.94615,27.45535,25.93253,N/A,23.21666,N/A,23.31371,26.68533,25.76839,13.75,20.93181,N/A,22.1026,N/A,N/A,N/A,24.67659,24.89072,N/A,25.33606,22.88221,26.58214,25.58583,27.16666,23.21354,23.33184,N/A,23.96645,26.55515,16.25,21.91166,25.00992,25.38041,22.30555,21.66666,15.0,N/A,25.12116,27.91666,25.78769,N/A,19.30555,24.37346,25.15773,25.39576,26.99675,23.87603,25.06373,N/A,23.5718,22.61524,N/A,23.8372,21.66666,N/A,20.88095,9.375,25.33373,N/A,22.58888,24.0142,22.49312,N/A,27.01388,18.69444,N/A,23.76615,25.30407,26.59486,26.0,25.0,24.53866,26.34375,28.0,N/A,N/A,24.315,23.93267,27.9714,21.92944,25.47569,31.81818,25.46572,25.12896,25.5619,N/A,26.19419,25.00325,24.82489,11.42857,N/A,27.26607,N/A,23.7505,24.83748,25.97607,N/A,25.05969,24.19042,25.25766,27.19642,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ki,25.0,21.88888,N/A,13.65079,23.83333,21.27501,26.70056,21.6974,21.33981,21.91468,N/A,33.125,24.93893,21.48747,22.24927,22.76933,20.46769,22.72727,23.96938,N/A,22.32433,24.44444,21.55624,23.1032,25.22486,N/A,21.16765,N/A,21.59311,24.0,N/A,22.22222,21.53028,21.68576,23.125,18.87627,18.96862,21.85111,25.32002,24.10912,21.71731,22.73522,N/A,22.52525,22.24409,N/A,21.56954,25.29695,19.93572,28.88888,N/A,N/A,19.98484,26.69396,19.04761,20.31263,24.58333,25.00694,23.35652,27.77469,24.95277,25.99525,22.18056,22.1356,24.61111,23.36202,22.73408,24.28571,21.9196,N/A,N/A,29.125,33.33928,23.34009,17.22222,23.62554,25.12993,24.46759,N/A,23.39632,20.625,N/A,24.63088,21.65007,22.19223,33.57142,23.87085,23.55318,24.625,22.5,N/A,24.74082,19.44521,24.98982,20.16635,19.51491,22.62412,17.74786,19.92525,22.68606,19.11419,N/A,21.90979,24.81748,22.9278,21.99735,15.9659,20.30868,N/A,20.98611,20.60473,18.98431,N/A,22.86276,21.1662,18.58652,25.33585,N/A,29.50892,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fr,26.20424,20.02351,23.41517,26.19965,15.11396,25.6847,23.32173,24.73075,21.04494,21.00354,22.20779,25.0,22.83162,25.01999,22.47561,21.5039,25.05119,28.46875,24.87555,14.88888,24.81489,30.31462,19.42528,22.99958,22.52121,18.75,22.17078,19.44444,22.38227,33.33333,28.33333,27.14285,18.01114,23.12209,23.0,25.04125,22.5976,25.84506,24.93375,19.52668,22.05821,23.92992,28.33333,21.58051,24.46817,23.00652,22.70174,22.18628,25.24476,22.46798,22.2619,19.55357,22.8301,23.63094,20.32539,19.38941,27.95178,22.66973,24.47199,22.39949,23.83111,22.36881,23.17604,23.57103,21.23015,22.41745,19.10317,20.0,21.39315,30.44444,13.37545,28.37433,26.02604,22.9203,20.71428,14.58085,23.36254,22.93459,23.88888,24.35681,21.28858,24.09722,22.19773,23.55085,23.43712,9.85416,24.20238,24.42786,23.93947,26.77777,21.875,22.86137,25.4097,23.64555,25.34861,19.18697,20.84692,30.7233,24.88833,23.71085,25.18559,21.42857,25.68734,23.17057,19.91522,26.53918,22.58333,25.46942,23.125,24.78468,22.33322,29.3099,21.875,21.86954,21.6713,23.81952,21.32738,25.0,24.50223,26.55433,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
za,24.05036,19.65914,25.4246,22.95578,22.9193,26.58731,12.99633,24.6136,23.39617,22.88652,28.25,13.0,21.95531,26.40816,22.51507,22.40075,25.40695,24.0,22.21811,N/A,23.4254,27.33333,24.94561,24.86075,23.54775,26.0,22.63804,N/A,23.89983,13.0,22.14285,20.0,24.82609,24.88369,20.0,22.98297,24.2495,25.68501,25.00399,21.33985,23.61478,22.92057,N/A,23.45171,23.13021,22.35565,24.84982,22.66683,26.65284,24.0119,17.85714,23.4375,23.69107,14.05372,20.46428,25.2406,26.39115,23.20625,24.90109,22.76559,25.32373,22.74546,25.07576,26.17671,12.5,22.3916,22.66404,N/A,23.22432,26.15079,15.0,23.26339,24.475,19.94427,10.71428,21.79992,24.51926,23.38577,30.0,22.14112,21.88888,26.28472,24.02466,24.36286,25.45757,24.40476,19.26071,25.16456,22.81926,22.5,20.0,23.01649,25.59404,20.09686,26.13821,25.73366,22.58702,32.03829,24.06894,25.58803,24.92568,25.0,27.39124,23.6855,24.56518,22.86022,24.46428,25.49699,N/A,25.88832,23.84572,30.15044,N/A,22.25074,22.23854,26.96576,21.47371,18.33333,24.27891,25.97222,23.866,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ja,24.33989,20.57919,24.00049,22.12233,23.31828,22.31041,23.98817,20.94617,21.53497,21.47362,22.04545,N/A,24.26513,22.42998,23.91858,23.85533,21.24266,26.5,23.0358,27.1865,21.73444,29.02636,21.74943,22.27854,25.16329,34.375,21.11458,23.75,22.60607,27.5,29.16666,25.625,22.43274,22.90616,17.0,21.66114,20.73278,21.90532,22.46957,26.57159,24.80042,24.4729,14.375,24.44599,22.75213,21.84871,20.9085,23.47362,22.69743,24.95502,22.5,27.91666,21.78426,24.37031,23.1541,22.41194,22.88425,25.69642,22.2004,22.50329,25.89971,23.21212,23.46714,22.62718,19.47089,23.00973,22.79055,25.0,22.81467,24.64285,25.60714,23.7748,24.90714,24.18678,14.375,23.88488,24.3028,23.89718,19.44444,23.92465,22.5462,23.88888,23.97543,23.62521,22.94113,26.11111,23.71904,24.2235,23.87666,22.44444,24.16666,24.64623,21.01743,24.54308,21.65229,21.77991,23.55644,21.71616,20.69147,24.12603,21.99072,11.42857,23.12651,24.76822,22.18836,25.59969,27.5,21.51841,21.25,22.94773,23.16824,24.0246,15.71428,23.64088,22.73862,23.33457,24.175,25.71428,27.93211,22.61002,25.30581,23.37075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ka,25.28414,22.24229,30.84753,23.23437,23.01636,22.87666,26.22158,21.41622,22.49312,22.34496,28.18181,21.875,25.31578,22.21436,25.23463,23.74965,21.34152,23.74188,22.55112,16.64502,22.79732,28.44246,22.61576,22.32775,25.80819,7.5,21.3842,21.52777,23.14851,40.71428,22.5,28.75,22.34523,22.73054,26.875,19.77932,21.80055,23.25475,23.6274,25.23575,23.79061,26.73963,26.66666,24.17096,23.65496,21.03397,21.98987,25.40145,22.82901,22.98187,27.5,20.69444,20.02143,25.82022,27.06018,22.59317,24.78928,24.7767,21.97974,22.896,26.23721,24.9876,23.4334,24.28832,18.63324,23.18474,23.22547,20.0,23.36129,21.80555,22.78135,26.34656,28.88058,25.63583,16.25,23.40266,23.60768,23.07982,31.42857,23.95402,22.99065,19.5,22.92581,24.08382,24.27644,26.09375,22.92658,24.44315,24.98328,23.5,23.33333,26.59812,21.15864,26.07436,22.06951,21.47934,23.17277,24.05823,21.6012,24.50793,21.35495,28.125,14.75351,24.35218,22.92955,22.63712,20.64285,22.24804,19.0909,21.75446,22.64169,25.29282,22.5,24.24244,23.53495,23.01709,24.86758,30.83333,24.91711,22.81596,25.4846,27.12695,23.36193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
da,27.16268,18.81375,21.25,23.39258,18.93123,22.29109,21.18382,22.26477,19.37257,19.06768,28.66666,23.33333,21.7596,21.25031,8.7458,7.76472,21.81584,22.375,21.18069,13.63636,21.89428,22.96626,20.42278,22.98722,22.53313,20.0,20.77578,20.41666,20.86341,19.16666,29.16666,17.85714,21.65136,22.20696,24.16666,21.9965,21.29703,23.1861,24.18287,17.97265,21.03291,23.39999,N/A,19.98154,22.14581,17.76068,21.27834,14.85922,23.45302,20.91049,18.75,19.94444,19.96717,21.62823,19.84523,20.04618,26.46768,21.49718,22.60748,21.42061,22.18536,13.27282,15.07623,15.87578,24.86111,20.77827,20.20459,N/A,19.73398,19.7619,19.18888,26.61309,21.3106,21.25142,20.0,20.29317,22.60224,23.17303,N/A,22.00729,6.75817,23.36111,21.30814,21.75365,21.74053,22.57142,19.94543,22.11193,21.48429,20.83333,22.85714,21.50869,22.82275,22.11547,22.76615,21.03838,20.67379,25.73374,22.55783,21.23883,23.06432,20.0,24.05182,21.35116,20.80968,21.37814,22.77777,23.18162,23.125,22.81433,20.33895,27.55535,19.16666,14.31373,19.80076,22.29392,15.88475,26.875,23.08978,23.40607,21.12688,20.64843,23.58532,23.57702,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fa,27.4947,13.03407,19.80952,23.25693,20.92613,22.06429,23.81867,22.59327,19.99395,19.56802,19.91883,29.0,21.50841,22.78117,20.60094,20.93265,22.27168,19.68073,21.03837,19.5032,22.27818,24.75039,20.63023,19.59299,22.77105,15.0,21.44309,21.25,20.64292,5.0,N/A,10.0,21.19987,21.21876,21.42857,21.3791,20.40192,22.37955,22.4864,21.84635,18.8838,24.49856,19.28571,22.00801,21.64192,20.12257,21.30479,22.1805,22.41272,22.6717,23.42857,26.5625,21.39979,23.24553,19.20138,21.31691,25.01877,21.30775,20.74104,20.03064,23.41597,20.89468,21.80279,22.76742,21.46031,21.00415,20.16918,18.33333,20.65464,23.80952,18.11471,25.05268,24.88278,22.11665,16.11111,19.397,21.2198,20.36012,20.0,20.02118,15.65476,16.8409,19.30898,21.76823,21.74651,24.10714,18.01269,22.20951,19.94186,17.97619,24.0,20.05064,22.45623,23.93584,23.33692,20.87199,3.36755,29.62632,22.637,22.05229,21.74476,N/A,23.66206,19.61561,21.32146,21.11674,17.39583,23.11285,25.0,22.14296,19.91675,26.79436,20.0,20.18727,21.53469,21.07909,20.64912,23.125,25.06309,23.82731,22.18078,23.7491,23.48619,23.72287,21.1325,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mn,25.50656,19.23109,26.125,22.39484,23.14189,24.24541,24.64909,23.74115,22.5005,22.21215,21.10389,30.0,21.15279,23.81797,22.7165,22.77121,22.96894,21.78571,19.60173,N/A,22.97796,21.75,23.78645,24.94904,24.75154,N/A,22.56513,28.57142,23.54859,25.0,19.28571,20.0,23.79256,22.51851,N/A,23.7561,23.81212,23.14392,24.5861,26.31944,23.0667,24.58543,N/A,23.9773,24.19878,26.1695,22.93951,23.6801,25.82363,23.84722,N/A,28.88888,18.78679,24.44599,24.89583,24.06212,30.19171,24.1457,24.57452,22.96579,25.37799,22.54726,22.45132,23.85859,23.98076,22.84074,23.32016,N/A,23.6376,17.85714,19.08134,28.19444,29.38186,22.77432,25.0,24.63586,20.5481,21.05069,N/A,23.16135,22.45238,23.49431,23.66295,24.03263,22.98608,26.04166,23.392,22.39905,23.96416,26.07142,N/A,21.94896,23.23878,23.62611,25.02362,24.01829,22.10817,31.1966,23.33664,23.60383,23.60255,N/A,25.78932,21.54342,22.73994,19.0974,18.75,24.80241,N/A,23.89173,22.18075,28.94968,27.0,22.37247,21.82925,26.06461,21.93898,20.83333,27.74404,26.04308,23.39721,24.71188,25.94774,25.52231,21.17618,22.32268,,,,,,,,,,,,,,,,,,,,,,,,,,,
sk,23.00781,20.00674,22.64583,20.85781,20.64847,22.73622,24.14307,21.64675,12.63992,12.06365,22.97727,28.0,22.01843,22.45,20.87353,20.32576,22.09236,27.61607,23.09836,18.88888,22.02449,23.58531,20.38268,19.98006,23.27148,13.75,21.98968,26.25,5.28868,25.83333,16.25,20.0,20.83038,22.23064,29.16666,21.15943,20.09905,23.16125,22.9229,21.50165,21.54734,24.35601,N/A,22.25231,21.9804,18.9781,20.29329,21.59583,21.21803,22.49712,30.20833,15.45454,20.29746,24.17684,21.40214,20.28371,24.34303,22.3201,21.66957,21.83565,24.2458,20.87466,20.39482,21.79066,20.38359,21.83813,20.15474,12.77777,10.05801,14.81481,23.04357,23.99925,23.93824,23.12071,23.125,19.78692,21.75089,21.7266,20.0,21.91295,20.46089,16.75,21.77175,9.19421,11.6907,25.45138,22.19107,22.70152,23.18717,17.25,23.88888,23.94841,21.81822,23.46228,22.49573,20.03777,20.73921,23.56746,22.01989,20.9696,21.70325,26.66666,23.57271,22.38078,20.6722,22.87766,20.35714,22.24226,N/A,21.54417,17.01738,25.3415,21.11111,20.60945,20.71231,19.88629,21.8995,21.875,22.85572,21.59954,22.51816,24.44311,23.14726,23.54847,21.12266,20.91391,23.52446,,,,,,,,,,,,,,,,,,,,,,,,,,
he,24.49074,21.17721,17.68518,23.09523,20.6999,21.53017,22.80078,21.45324,20.18393,20.23598,22.91666,N/A,22.30027,21.51856,23.95816,21.9235,21.00864,16.36363,22.82217,15.52083,21.51808,15.0,20.5165,21.1699,24.35213,26.66666,19.45847,N/A,21.28466,N/A,N/A,N/A,21.39449,15.14767,20.71428,20.6009,20.87731,22.24121,23.53091,18.32341,19.72733,22.14342,17.85714,20.29655,21.76795,20.75935,22.38102,21.76349,22.5122,16.7517,24.4375,24.02777,22.13492,23.93129,16.18055,22.15816,27.73809,24.2482,21.38264,21.01214,24.4339,23.02091,21.97862,23.09431,24.91071,20.5411,22.54729,N/A,21.30232,13.125,20.3125,24.34027,28.59608,23.92155,N/A,22.1169,23.13794,21.86221,N/A,22.12176,22.19246,22.5,21.5989,21.87048,21.52241,22.79166,24.86111,22.45744,19.74343,18.57142,25.83333,22.63492,21.72446,22.61497,21.73113,21.55313,20.6522,27.77304,20.92388,16.88053,21.98447,N/A,23.84585,21.64416,22.25359,29.34523,17.5,21.82125,N/A,22.16201,21.02241,25.46422,N/A,21.02763,22.71495,22.27165,20.62582,30.0,29.12874,22.97301,22.38232,24.47133,22.63389,22.96002,22.04008,21.71998,22.25,21.98715,,,,,,,,,,,,,,,,,,,,,,,,,
nl,23.21119,19.22878,27.06646,23.18326,19.90853,23.31836,22.35598,23.68144,19.59256,21.5084,19.40476,22.5,20.94986,23.24202,15.05689,12.78735,23.71927,21.31755,22.64137,17.80303,23.20962,23.15051,20.73888,22.61416,22.8556,32.5,19.76818,19.33333,20.43891,25.71428,20.71428,20.0,21.39868,21.62296,24.0,23.55381,20.64856,23.99312,23.61188,19.95705,19.62642,24.47744,11.875,20.86968,21.95871,20.15197,21.37201,9.08128,22.57472,20.02579,20.0,22.77777,19.8771,22.60657,20.20667,21.34653,26.96488,20.73992,22.22031,20.38129,22.63514,9.98194,18.02147,18.91648,27.65782,21.54295,20.10012,16.875,20.25712,25.99206,19.24278,28.15145,26.0372,22.30597,20.625,20.9983,21.45947,21.89198,17.5,20.86814,16.91535,27.1875,21.15036,21.49044,21.40081,24.16666,17.60064,22.21147,20.52027,20.14285,25.71428,21.60723,23.22691,22.3594,24.38995,20.88335,18.50909,26.73214,23.6977,21.5206,23.7318,21.42857,24.36012,20.14945,20.44862,21.26844,25.53571,24.67163,23.57142,23.42454,19.02144,27.71254,25.83333,10.07353,20.20539,23.11878,10.91006,20.83333,26.2024,24.3422,21.69109,22.39066,23.55989,24.39426,14.09479,20.03949,20.83329,21.03558,19.70891,,,,,,,,,,,,,,,,,,,,,,,,
mr,N/A,32.5,N/A,N/A,21.11111,20.44642,21.75925,22.85714,21.52777,27.5,N/A,N/A,27.0,20.44642,35.0,25.0,21.74107,N/A,23.57142,N/A,24.24107,N/A,28.125,33.0,21.25,N/A,25.72916,N/A,21.875,N/A,N/A,N/A,27.56944,21.42857,N/A,25.39285,22.9365,24.7619,26.04761,N/A,22.71428,26.11111,N/A,25.83333,26.875,N/A,25.61904,21.23809,29.55555,N/A,N/A,N/A,N/A,26.38888,N/A,18.125,N/A,29.24603,15.35714,18.33333,21.81547,24.42857,19.27777,23.37301,N/A,10.0,27.38888,N/A,20.04166,N/A,N/A,34.0,29.0,24.46428,N/A,N/A,24.61111,25.3125,N/A,22.36111,35.0,N/A,12.5,20.39682,24.07407,N/A,N/A,22.90674,N/A,N/A,22.14285,20.0,24.28571,23.44444,23.16964,26.77248,23.57142,31.25,21.42857,26.875,22.14285,N/A,24.66666,19.22222,28.0,N/A,N/A,23.4375,N/A,20.44642,27.375,31.375,N/A,20.91269,25.0,26.25,16.00793,N/A,N/A,N/A,24.09523,20.41666,30.0,27.77777,21.31746,30.27777,N/A,24.375,21.58333,16.55555,,,,,,,,,,,,,,,,,,,,,,,
ny,23.99659,22.2004,27.05555,17.36254,22.34244,19.42589,24.83104,19.15319,20.55593,21.91322,19.56349,35.0,24.32925,18.8011,23.27638,22.48403,17.83518,23.18181,27.57113,22.1875,20.41375,24.81481,19.38087,20.91194,24.76683,23.0,19.1974,N/A,20.50298,22.5,22.5,21.875,20.86576,20.53371,21.42857,18.26494,19.41296,20.99405,23.75468,23.52198,21.70051,24.60229,N/A,23.94915,22.06168,13.84406,19.98272,23.66532,20.10064,17.26731,21.42857,17.5,18.86596,24.33151,22.6455,20.97216,21.82539,24.74809,20.94272,23.22073,26.04584,23.90841,22.99695,23.16367,21.12179,22.18564,20.07362,18.88888,21.36142,16.47321,21.11111,26.35317,29.06439,22.64268,15.625,21.85716,23.24681,23.0813,N/A,23.17036,20.68427,22.72727,23.71472,21.64123,21.50603,28.32142,21.41684,23.90403,24.86973,19.375,20.5,23.11904,19.1761,23.95705,19.00603,18.58014,22.35841,15.07356,18.17175,21.75954,18.00941,24.44444,22.09392,23.39118,21.0575,22.43435,16.68831,18.66782,29.0,20.1537,21.69527,18.93557,16.25,22.50279,22.26252,22.3382,24.72004,25.55555,17.22048,16.79336,25.45793,25.63539,22.15327,21.78731,23.72344,22.53869,24.74371,21.47572,23.13183,23.27135,28.61111,,,,,,,,,,,,,,,,,,,,,,
