word,pl,cy,de,lt,ru,gv,el,xmf,te,yi,lzz,da,es,is,it,sva,ka,sl,oc,sv,br,fo,ga,pt,nl,lv,sk,bg,be,gd,af,ro,fy,ca,hy,gl,mk,no,sq,cs,fr,uk
day,d͡ʑɛɲ,dɨːð,tɑːk,,ˈsutkʲɪ,,,dʁä,roːdʒu,tɔɡ,dʁä,døjn,ˈdia,ˈtaːɣʏr,ˈd͡ʒorno,lädɛʁ,dʁɛ,,,,ˈdɛj,ˈtɛaːvʊɹ,l̪ˠɑː,ˈdi.ɐ,dɑx,,,,,,daχ,zi,,ˈdi.ə,ɔɾ,ˈd̪iɐ,,,,dɛn,ʒuʁ,ˈdɛnʲ
play,ɡrat͡ɕ,ˈχwaraɨ̯,ˈʃpiːlən,ˈʒɐjsʲtʲɪ,ɪˈɡratʲ,,,mɛgämä,,,gɛlätʃämu,lajə,xuˈɡaɾ,ˈleiːka,d͡ʒoˈkä.re,liʃmɛ,däkʼvrä,iˈɡraːti,,,,,ˈɪmʲəɾʲ,ʒu.ˈɣaɾ,ˈspeːlə(n),,ˈɦrac,iˈɡrajə,,,,,,ʒuˈɡa,χɑˈʁɑl,,,,,ɦraːt,ʒwe,ˈɦrɑte
husband,mɔŋʂ,ɡuːr,,ˈʋʲiːrɐs,muʂ,,,kʰɔmɔndʒi,,,kʰɔmɔli,mæn,maˈɾido,ˈeiːjɪn.maːðʏr,maˈri.to,tʃʼæʃ,kʰmäri,ˈmóːʃ,,ˈmɑːˌkɛ,ˈɡwaː,ˈmɛaːvʊɹ,fʲaɾˠ,ma.ˈɾi.du,mɑn,vīːɾs,,ˈmɤʃ,muʂ,,,sots,,məˈɾit,ɑmuˈsin,,maʃ,,bur,ˈmanʒɛl,ma.ʁi,t͡ʃɔlɔˈu̯ʲik
liver,vɔnˈtrɔ.ba,ˈavɨ̞,ˈleːbɐ,,ˈpʲet͡ɕɪnʲ,eːn,,tʃχɔntʃχi,,,dʒigɛri,leːvər,ˈiɡado,ˈlɪːvʏr,ˈfeɡato,qʼwiʒɛ,ʁvidzli,ˈjèːtra,,,ˈɑːvy,ˈliːvʊɹ,eː,ˈfi.ɡɐ.du,ˈleːvər,aknas,ˈpɛtʃɛɲ,ˈtʃɛrɛn drɔp,ˈpʲet͡ʂanʲ,,,,,ˈfe.d͡ʒə,ljɑɾtʰ,,ˈd͡ʒiɡɛr,ˈleːʋɛr,,ˈjaːtra,fwa,
wing,ˈskʂɨ.dwɔ,ˈadai̯n,ˈflyːɡl̩,,krɨˈlo,ˈskiːən,,suä,rekːa,,msvä,,ˈala,ˈvaiŋkʏr,ˈala,kʼäbərdʒ,pʰrtʰä,ˈkrìːlɔ,,ˈvɪŋˌɛ,ˈas.kɛl,ˈvɔŋkʊɹ,ˈʃcɪhɑːn,ˈa.zɐ,,spàːɾns,ˈkriːdɫɔ,kriˈlɔ,krɨˈɫo,,,,,ˈa.lə,tʰɛv,aː,,,kɾa,kr̝̊iːdlo,ɛl,
rotten,ˈzɡɲi.wɨ,,faʊ̯l,,ɡnʲɪˈloj,,ˈsapços,ʔɔrädili,,,χtsäpʰɛri,rɔdən,,,,mɛkʰwrɛ,dämpʼäli,ˈɡníːw,,,,,ˈl̪ˠɔfˠə,ˈpo.ðɾɨ,rɔt,,ˈɦɲiliː,,ɣnʲiˈɫɨ,,,ˈpu.tred,,,pʰəˈtɑt͡s,ˈpoðɾe̝,,,,ˈzɦɲɪliː,puʁi,
sun,ˈswɔɲ.t͡sɛ,haɨ̯l,ˈzɔnə,ˈsɑuleː,ˈsont͡sə,ɡriːn,ˈi.ʎos,bʒä,,zʊn,mʒɔrä,soːl,ˈsol,souːl,ˈso.le,miʒ,mzɛ,ˈsóːntsɛ,suˈlel,suːl,,sɔuːl,ɟɾʲiənˠ,ˈsɔɫ,,sāūle,ˈsɫ̩ŋkɔ,ˈslɤntsɛ,ˈsont͡sa,,,ˈso̯are,,ˈsɔl,ɑˈɾɛv,s̺ol,ˈsɔnt͡sɛ,suːl,,ˈslunt͡sɛ,sɔ.lɛj,ˈsɔnt͡sɛ
sing,ˈɕpʲɛ.vat͡ɕ,ˈkanɨ̞,ˈzɪŋən,dɐjˈnuɔtʲɪ,pʲetʲ,,,birä,,ˈzɪn.ɡn̩,ɔbiru,sønɡə,kanˈtaɾ,ˈsiɲca,kanˈtaːre,liʁräl,mʁɛrä,ˈpɛ̀ːti,,,,,kanˠ,kɐ̃ˈtaɾ,ˈzɪ.ŋə(n),dziɛ̂dâːt,,ˈpɛjə,,,səŋ,kɨnˈta,,kənˈta,jɛɾˈkʰɛl,,,²sʏŋːjɑ,kənˈdɔj,ˈspiːvat,ʃɑ̃.te,sʲpʲiˈu̯ɑte
snake,vɔŋʂ,nei̯dr,ˈʃlaŋə,ɡʲiːˈʋaːtʲeː,zmʲɪˈja,,ˈfiði,gvɛri,paːmu,ʃlaŋ(ɡ),tsʼitsʼilä,,serˈpjente,ˈstnauːkʏr,serˈpɛn.te,hwidʒ,gvɛli,ˈkàːtʃa,,ˈʊrm,ˈnaɛr,,ˈn̪ˠæhəɾʲ,ˈkɔ.bɾa,slɑŋ,tʃūska,ˈɦat,zmiˈja,zʲmʲaˈja,,slɑŋ,ˈʃarpe,,ˈseɾp,ɔt͡sʰ,ˈsɛɾpe̝,,,ˈɟ͡ʝaɾpəɹ,ɦat,sɛʁ.pɑ̃,
die,uˈmʲɛ.rat͡ɕ,,ˈʃtɛʁbən,ˈmʲɪrʲ.tʲɪ,ʊmʲɪˈratʲ,,peˈθeno,ʁurä,,,ʁurä,dø,,ˈteiːja,moˈrire,dägrä,sikʼvdili,,,,,,,mu.ˈʁeɾ,ˈdoːtxaːn,mīɾt,ˈumri̯ɛc,oˈmiɾəm,,,,muˈri,,muˈɾi,mɛrˈnɛl,,,,vdɛs,ˈumr̝iːt,mu.ʁiʁ,
thin,ˈt͡ɕɛn.kʲi,ˈtɛnaɨ̯,dʏn,,ˈtonkʲɪj,,,tʰχitʰχu,,,tʰitʰχu,,ˈfino,ˈθʏnːʏr,sotˈtile,dətʰχɛl,tʰχɛli,,,,,,keːl̪ˠ,ˈfi.nu,,tiêws,ˈcɛŋkɔ,ˈtɤnək,ˈtonkʲi,,,slab,,,bɑˈɾɑk,,ˈtɛnɔk,,,ˈtɛŋkiː,mɛ̃s,
nose,nɔs,truːɨ̯n,ˈnaːzə,,nos,st̪rudʲnʲ,ˈmiti,tʃχvindi,,,tʃχindi,ˈnɛːsə,naˈɾiθ,nɛːv,ˈna.zo,nɛpʰχwnä,tsχviri,ˈnóːs,,ˈnɛːsˌa,ˈfriː,nøːs,sˠɾˠoːnˠ,nɐˈɾiʃ,nøːs,,,nɔs,,s̪t̪ɾɔːn,nɪøs,,,ˈnas,kʰitʰ,naˈɾiθ,,,,nos,ne,
spit,plut͡ɕ,,ˈʃpʊkŋ̩,,plʲɪˈvatʲ,,ˈfti.nɔ,pʰurtʼinuä,,,ntʃʼkʼväläpʰä,spøtɘ,eskuˈpiɾ,ˈr̥aiːca,spuˈtare,litʼbənɛ,pʰurtʰχɛbä,,,,,,,kuʃ.ˈpiɾ,,spʎāwt,ˈpʎuc,,,,,,,,tʰəˈkʰɛl,kusˈpiɾ,ˈpɫuka,,,ˈplɪvnou̯t,kʁa.ʃe,
seed,naˈɕɛ.ɲɛ,haːd,ˈzaːmən,ˈsʲeːklɐ,ˈsʲemʲə,,ˈspo̞ro̞s,tʰäsi,,ˈzɔɪ̯mn̩,tʰäsi,sɛːd,,fraiː,ˈseme,læʃi,tʰɛsli,ˈsèːmɛ,,,,fɹɛaː,ʃiːl,sɨˈmẽtɨ,zaːt,,ˈsɛmɛnɔ,ˈsɛmɛ,naˈsʲenʲːe,,,səˈmɨntsə,,ʎəˈvo,sɛɾm,seˈmɛnte̝,,frøː,ˈfaːɾ,ˈsɛmɛno,sə.mɑ̃s,ˈsʲimjɐ
stone,ˈka.mʲɛɲ,ˈkarɛɡ,ʃtaɪn,,ˈkamʲɪnʲ,klaːx,,kʰuä,,,kʰvä,,ˈpjedɾa,steitn,ˈpjɛtra,bætʃ,kʰvä,ˈkàːmən,ˈpɛjɾo,,,,klˠɔx,ˈpɛ.dɾɐ,steːn,,ˈkamɛɲ,ˈkamək,,,,,stiə̯n,ˈpe.dɾə,kʰɑɾ,ˈpɛðɾɐ,,,ɡuɾ,ˈkaːmɛn,pjɛʁ,
bone,kɔɕt͡ɕ,,ˈknɔχn,ˈkä̂ˑʊ̯ɫɐs̪,kosʲtʲ,kreːw,o̞ˈsto̞,dzväli,,,qʼvili,knɔɡlə,ˈweso,ˈpeiːn,ˈɔsso,dʒidʒw,dzväli,ˈkóːst,ˈɔs,ˈbeːn,ˈas.kɔrn,bain,knɑːvʲ,ˈo.su,beːn,,ˈkɔsc,kɔst,kosʲt͡sʲ,,,os,,ˈɔs,vɔsˈkɔɾ,ˈɔso̝,,bæɪn,,kost,ɔs,
correct,pra.vʲiˈdwɔ.vɨ,ˈkəu̯ɪr,kɔˈʁɛkt,,ˈpravʲɪlʲnɨj,,so̞ˈsto̞s,tʰinu,,,mtʰini,,koˈreɡto,ˈrjɛht,korˈrɛtto,mɛgu,stsʼɔri,praˈʋíːlən,,,,,,ku.ˈʁɛ.tu,,paɾɛ̄īs,,ˈvɛrɛn,praˈvʲilʲnɨ,,,koˈrekt,,koˈrɛk.tə,t͡ʃiʃt,,,,,ˈspraːvniː,kɔʁɛkt,
fish,ˈrɨ.ba,pəsˈɡɔdɨ̯n,fɪʃ,,ˈrɨbə,jiːst,ˈp͡sari,tʃχɔmi,t͡ʃeːpa,fɪʃ,tʃχɔmi,fesk,ˈpeθ,ˈfɪskʏr,ˈpeʃːe,tsuz,tʰɛvzi,ˈrìːba,,fɪsk,,ˈfɪskʊɹ,iəsˠk,ˈpɐjʃɨ,vɪs,ziws,ˈriba,ˈribə,ˈrɨba,,fəs,ˈpeʃte,fɪsk,ˈpeʃ,d͡zuk,ˈpejʃe̝,,,pɛʃk,ˈrɪba,pwa.sɔ̃,ˈrɪbɐ
push,pxat͡ɕ,,ˈdʁʏkŋ̩,,tɐlˈkatʲ,,,ɛkʼɔkʼinä,,,mɛkʼäntʃʼinu,skɔbɘ,empuˈxaɾ,ˈr̥ɪnta,ˈspindʒere,likʰχɛ,mitsʼɛvä,,,²ɧʉːta,,,,ẽ.pu.ˈʁaɾ,ˈdyu̯ə(n),,ˈtɫat͡ʃic,,,,,,ˈtrjoːə,əmˈpə.ɲə,həˈɾɛl,,,,,ˈtlat͡ʃɪt,pu.se,
tie,ˈvʲɔ̃.zat͡ɕ,,ˈbɪndn̩,ˈrʲɪʃʲtʲɪ,ˈsvʲazɨvətʲ,,,dɔkʼiruä,,,mɛkʼiru,benə,aˈtaɾ,,leˈɡare,libɛm,däbmä,,,,,,,ɐˈtaɾ,ˈknoːpə(n),,,,,,,,,,kɑˈpɛl,,,,,ˈpr̝̊ɪvaːzat,lje,
bite,,knɔj,ˈbaɪ̯sn̩,,ɐtˈkusɨvətʲ,,ðaŋˈɡono,χitʃuä,,,ɔkʼibinu,biːdə,,ˈpiːta,ˈmɔrdere,liqʰɛpʰ,kʼbɛtʃä,,,,,,,muɾˈðeɾ,ˈbɛi̯tə(n),kuôst,,ot̪ˈxapvəm,kuˈsat͡sʲ,,,muʃˈka,,mo.səˈɡa,kəˈtsɛl,,ɔdˈɡrizuva,,kafˈʃɔj,ˈkou̯sat,mɔʁdʁ,
rope,ˈlʲi.na,r̥aːf,zaɪ̯l,,vʲɪˈrʲɵfkə,,,tʰɔkʼi,,,tʰɔkʼi,tɔv,ˈkwerda,ˈreiːpɪ,ˈkɔrda,tʰækʼw,tʰɔkʼi,,,,kɔrdɛn,,tʲiad̪ˠ,ˈkɔɾ.dɐ,,àwkla,ˈɫanɔ,vəˈʒɛ,vʲaˈrou̯ka,,,,,ˈkɔɾ.də,pɑˈɾɑn,,ˈjaʒɛ,,liˈtaɾ,,kɔʁd,
this,tɛn,hʊn,ˈdiːzər,,ˈɛtət,,aˈftos,tʰɛnä,iː,,äjä,,ˈeste,ˈθɛsːɪ,ˈkwes.to,äli,ɛs,ˈtáː,,,,,ʃɔ,ˈɛʃ.tɨ,ˈdeːzə,ʃis,,ˈt̪ɔzi,,ʃɔ,dɨt,aˈt͡ʃest,,əˈkəst,ɑjs,,ˈɔvɔj,,ky,ˈtɛnto,sə,
guts,,,ˈaɪ̯nɡəvaɪ̯də,,kʲɪʂˈkʲi,,,tʃʼi,,,tʃʼu,,,,,tʃʼintʃʼil,nätsʼlävi,,,,,,ˈɪn̠ʲiː,,,,,,,,,,,,pʰoɾoˈtikʰ,,ˈt͡srɛva,,,,ɑ̃t.ʁaj,
suck,ssat͡ɕ,,ˈzaʊ̯ɡən,ˈtʲʃʲʊlʲpʲtʲɪ,sɐˈsatʲ,,,tsʼuälä,,,ɔtsʼu,,t͡ʃuˈpaɾ,ˈsjuːa,,litʃigw,tsʼɔvä,,,,,,sˠuːɟ,,ˈzœy̯.ɣə(n),sùːkt,,,smaktat͡sʲ,ˈtʲo.al,,ˈsu.d͡ʒe,,ʃuˈkla,t͡səˈt͡sɛl,t͡ʃuˈt͡ʃaɾ,ˈt͡sit͡sa,,θiθ,,sy.se,
know,ˈvʲɛ.d͡ʑɛt͡ɕ,ˈmɛdrɨ̞,ˈvɪsn̩,ʒɪˈnoː.tʲɪ,znatʲ,,ˈksɛ.ɾɔ,rtʃkʰinä,,vɪsn̩,ɔtʃkʰinu,,saˈbeɾ,ˈvɪːta,saˈpeː.re,mäχäl,tsɔdnä,,,veːta,,,,sɐ.ˈbeɾ,ˈʋeːtə(n),zinâːt,ˈvɛɟi̯ɛc,,ˈvʲedat͡sʲ,,vɪət,ʃti,,səˈbə,ɡitɛˈnɑl,,,,di,ˈvjɛɟɛt,savwaʁ,ˈznɑte
river,ˈʐɛ.ka,ˈavɔn,flʊs,ˈʊpʲeː,rʲɪˈka,aunʲ,,mältsʼqʼäri,n̪ad̪i,,ɔrubä,,ˈri.o̞,fljouːt,ˈfju.me,tʃʼälæ,mdinärɛ,ˈrèːka,ˈrriw,fluːd,ˈstɛːr,ɔaː,əunʲ,ˈʁi.u,riːˈviːr,,ˈri̯ɛka,rɛˈkɤ,raˈka,,rəˈfiːr,rɨw,,ˈriw,ɡɛt,ˈri.o̝,,,,ˈr̝ɛka,flœv,rʲiˈkɑ
name,ˈi.mʲɛ,ˈɛnʊ,ˈnaːmə,ˈvɐrːdɐs,ˈimʲə,,ˈo̞no̞ˌma,säχɛli,,nɔmɛn,dʒɔχɔ,,ˈnom.bɾe,napn,ˈno.me,ʒäχɛ,säχɛli,iˈméː,,namn,,naun,ˈanʲəmʲ,ˈno.mɨ,naːm,vàːɾds,ˈmɛnɔ,ˈimɛ,jiˈmʲa,,,ˈnu.me,,ˈnɔm,ɑˈnun,,,,ɛməɾ,ˈjmɛːno,nɔ̃,iˈmjɑ
thick,ˈɡru.bɨ,teːu̯,dɪk,,ˈtolstɨj,,,ʃχu,,,pʼɛdʒi,tyk,ˈɡɾweso,ˈθjɛhtʏr,ˈspes.so,sgɛl,skʰɛli,ˈdɛ̀ːbɛw,,ɕɔk,,t͡ʃʰʏʰkːʊɹ,tʲuː,iʃ.ˈpe.su,dɪk,,ˈtɫ̩stiː,dɛˈbɛl,ˈtou̯stɨ,tʰʲu,,ɡros,,,hɑst,,,çʊkː,,ˈtlustiː,e.pɛ,
snow,ɕɲɛk,ˈei̯ra,ʃneː,sʲnʲjæɡɐs,sʲnʲek,ˈʃnʲaxt̪ə,,tʰiri,,,mtʰviri,,ˈnjebe,snjouːr,ˈne.ve,musw,tʰɔvli,,ˈnɛw,snøː,,,ˈʃnʲaxt̪ˠə,ˈnɛ.vɨ,sneːu̯,snìɛks,ˈsɲɛx,snʲak,sʲnʲex,,sniu,zəˈpadə,sniə,ˈnew,d͡zjun,ˈnɛβɪ,,snøː,,sɲiːx,nɛʒ,ˈsʲnʲiɦ
star,ˈɡvʲaz.da,ˈsɛrɛn,ʃtɛʁn,ʒʋɐjɡʲʒʲˈdʲeː,zvʲɪzˈda,,,murutsχi,,ˈʃtɛʁən,murutsχi,stjɛrnə,esˈtɾeʎa,ˈstjartna,ˈstel.la,ämtʼqʼwæsg,värskʼvlävi,ˈzʋèːzda,,²ɧæːɳa,ste.ˈʁe.dɛ̃n,ˈʃœtna,ˈɾˠeːl̪ˠt̪ˠə,ɨʃˈtɾelɐ,stɛr,zvàjɡznɛ,ˈɦvi̯ɛzda,zvɛzˈda,ˈzorka,rˠeːɫ̪,,,,əsˈtɾə.ʎə,ˈɑstəʁ,es̺ˈtɾelɐ,ˈd͡zvɛzda,²stjɛrnə,yɫ,ˈɦvjɛzda,e.twal,
wind,vʲatr,,vɪnt,ˈʋʲeːjɛs,ˈvʲetʲɪr,ɡiː,,bɔriä,,,iχi,ʋend,ˈbjento,ˈvɪntʏr,ˈvɛn.to,bikʰw,kʰäri,,,vɪnd,ˈɑːvɛl,ˈvɪntʊɹ,ɡeː,ˈvẽ.tu,ʋɪnt,vɛ̄ːjʃ,ˈvi̯ɛtɔr,ˈvʲatər,,,,,,,kʰɑˈmi,ˈbento̝,ˈvɛtɛr,,ɛːɹ,ˈviːtr̩,vɑ̃,ˈʋʲiter
right,ˈpra.vɔ,hau̯l,ʁɛçt,,ˈpravə,,ðiˈceoma,märdzgväni,,,mädzgväni,rɛt,deˈɾet͡ʃo,ˈrjɛhtɪntɪ,,lɛrsgwɛn,märdʒvɛnä,praˈʋìːtsa,,,,,,d͡ʒiˈɾejtu,rɛxt,,,,ˈprava,,,drept,,ˈdɾət,iɾɑˈvuŋkʰ,,,rɛtː,,ˈpraːvo,dʁwɑ,
narrow,ˈvɔ̃s.kʲi,kɨːl,ɛŋ,,ˈuskʲɪj,,,intsʼrɔ,,,ndäri,snɛvər,es̺ˈtɾe.tʃo,ˈθrøyŋkʏr,ˈstretːo,näχwtsʼi,vitsʼrɔ,ˈòːzək,,,,,kuːŋ,iʃ.ˈtɾɐj.tu,nɑu,ʃàuɾs,ˈuːski,ˈtɛsɛn,ˈvuskʲi,kʰɯːɫ̪,,strɨmt,,əsˈtɾət,nɛʁ,,,,,ˈuːskiː,e.tʁwa,wʊˈzʲkɪi̯
wife,ˈʐɔ.na,ɡuˈrai̯ɡ,,,ʐɨˈna,,,ɔsuri,,,ɔχɔrdʒä,,esˈposa,ˈeiːjɪn.kʰɔːna,ˈspɔ.za,χɛχw,tsɔli,ˈʒɛ̀ːna,ˈfenno,hɵ̄sːtrʉ̂ː,ˈɡwʁɛːk,,bʲanˠ,es.ˈpo.za,vrɑu̯,sīɛ̄va,,ʒɛˈna,ˈʐonka,,,,,ˈdɔ.nə,kin,esˈposa̝,ˈʒɛna,,ˈɡɾua,ˈmanʒɛlka,fam,druˈʐɪnɑ
we,mɨ,niː,viːɐ̯,mʲæːs,mɨ,,e̞ˈmis,tʃkʰi,,,tʃkʰin,,noˈsotɾos,vɪð,ˈnoi,næ,tʃvɛn,ˈmíː,nus,viː,,,mˠɪdʲ,ˈnɔʃ,ʋɛi̯,mɛ̄ːs,ˈmi,ˈni.ɛ,,ʃiɲ,,noj,vɛi̯,noˈzal.tɾəs,mɛŋkʰ,,niɛ,meː,nɛ,mɪ,nu,ˈmɪ
hit,uˈdɛ.ʐat͡ɕ,ˈtarɔ,ˈʃlaːɡən,,ʊdɐˈrʲætʲ,,,mɛgämä,,,gɛtʃämu,slɔː,,stlauː,kolˈpire,liqʼɛr,rtʼqʼmä,,,,,,,ɡow.pe.ˈaɾ,ˈraːkə(n),,ˈudri̯ɛc,,,ˈbuɪl,,,,kol.pəˈʒa,χəˈpʰɛl,,,,,,fʁa.pe,
fight,ˈval.t͡ʂɨt͡ɕ,,kɛm(p)fən,,ˈdrat͡sːə,,,tʃχupʼi,,,ɔkʼɔkʼidinu,,peleˈaɾ,,lɔt.ˈta.re,litsuäl,tʃχubi,,,,,,t̪ˠɾˠɪdʲ,lu.ˈtaɾ,ˈstrɛi̯də(n),,ˈbɔjɔvac,,,,,,,ʎujˈta,kərˈvɛl,,,,,ˈbojovat,batʁ,
say,ˈmu.vʲit͡ɕ,,zaːɡən,sɐˈkʲiːtʲɪ,ɡəvɐˈrʲitʲ,,,tʰkʰuälä,,ˈzɔ.ɡŋ̩,ɔtʰkʰu,,deˈθiɾ,ˈseiːja,ˈdi.re,likʰwisg,tʰkʰmä,ˈrɛtʃi,,ˈsɛjːa,,siːja,ˈabˠəɾʲ,di.ˈzeɾ,ˈzɛɣə(n),satsîːt,ˈɦɔvɔric,ˈkazvəm,ɣavaˈrɨt͡sʲ,ˈapɪɾʲ,sɛː,ˈzitʃe,,ˈdi,ɑˈsɛl,diˈθiɾ,,²sæɪɑ,θɛm,r̝iːt͡st,diʁ,
bad,zwɨ,druːɡ,ʃlɛçt,ˈbloːɡɐs,plɐˈxoj,,kaˈkos,gläχä,t͡ʃeɖːa,,pʼätʼi,dɔːli,ˈmalo,ˈvɔntʏr,kaˈtːiːvo,χɔlä,tsudi,ˈsláp,,ˈdoː.lɪ(ɡ),,ˈɪtlʊɹ,ˈd̪ˠʊnˠə,ʁuˈĩ,slɛxt,,ˈzɫiː,,ˈdrenːɨ,ˈt̪ɔnə,,rəw,,doˈlent,vɑt,,,,,ˈʃpatniː,mo.vɛ,
feather,ˈpʲu.rɔ,plɨː,ˈfeːdəʁ,,pʲɪˈro,,,burdʁä,iːka,,bundʁä,fjeːr,ˈpluma,fjœːðʏr,ˈpjuma,pʼintʼqʼil,bumbuli,pɛˈróː,,,,ˈfjøːvʊɹ,ˈclʲɛtʲə,,veːr,spālva,,,,,,fulɡ,,,pʰɛˈtuɾ,ˈplumɐ,,fjøːr,,ˈpɛːro,plym,peˈrɔ
long,ˈdwu.ɡʲi,hiːr,laŋ(k),,ˈdlʲinːɨj,,,gindzɛ,,,gundzɛ,lanɡ,ˈlarɡo,ˈlaŋkʏr,ˈlunɡo,dʒwɛdi,grdzɛli,ˈdɔ́ːwk,,lɔŋ,,ˈlɛŋkʊɹ,ˈfˠɑd̪ˠə,ˈlõ.ɡu,lɑŋ,,ˈdl̩ɦiː,ˈdɤlək,ˈdou̯ɣʲi,fad̪̊ə,,luŋɡ,,ʎuˈɲa,jɛɾˈkɑɾ,,,,,ˈdlou̯ɦiː,lɔ̃,ˈdɔu̯ɦei̯
bark,ˈkɔ.ra,ˈr̥ɪskl̩,ˈbɔʁkə,ʒʲɪəˈvʲěː,kɐˈra,ruːs,,tʼqʼɛbi,,,tʼkʼɛbi,bark,korˈteθa,ˈpœr̥kʏr,korˈtettʃa,tʼɛpʰ,kʰɛrkʰi,ˈlùːbjɛ,,,,ˈpœɹ̥kʊɹ,ɾˠuːsˠk,,sxɔrs,,ˈku̯o.ra,koˈra,kaˈra,,bɑs,,,əsˈkɔɾ.sə,kɛˈʁɛv,,,,,ˈkuːra,e.kɔʁs,
man,ˈt͡ʂwɔ.vʲɛk,dɨːn,mɛnʃ,ʒmoˈɡʊs,t͡ɕɪlɐˈvʲek,,ˈanθɾɔpɔs,kʼɔtʃi,,mɛnt͡ʃ,kʼɔtʃi,,ˈombɾe,ˈmanːɛsca,ˈwɔ.mo,märɛ,kʼätsi,ˈtʃlɔ̀ːʋɛk,,mɛnːɪɧa,,,ˈd̪ˠɪnʲə,ˈɔmẽɪ̯,mɛns,tsìlvæ̀ːks,ˈt͡ʃɫɔvɛk,tʃoˈvɛk,t͡ʂaɫaˈvʲek,t̪ɯɲə,,om,ˈminskə,ˈɔ.mə,mɑɾtʰ,ˈɔmɪ,ˈt͡ʃɔvɛk,²mɛnːɛʃə,ɲɛˈɽi,ˈt͡ʃlovjɛk,ɔm,
