word,nv,ku,mg,tn,ca,kfe,lo,bfq,bg,mk,an,si,hu,ta,nn,sv,kfa,tt,kk,rm,gon,mh,es,sa,gd,ne,id,ky,cs,ks,ae,om,pt,ar,av,kxv,el,kff,ko,kw,ps,my,kl,br,gdb,sc,fi,af,se,am,qu,gn,eu,th,wo,gl,ab,gv,kfb,bn,ga,yi,is,fo,co,as,ro,mi,sl,ay,wa,dz,ii,pci,ha,oc,tr,az,ch,brh,nb,os,hi,pl,ru,ht,pa,ba,ug,sd,aa,tk,mjt,vi,xub,it,tg,rw,kn,mt,tcy,ty,xmf,hy,la,et,bm,te,jv,ml,lv,zu,st,de,sq,lt,lb,gu,ee,ki,fr,za,ja,ka,da,fa,mn,sk,he,nl,mr,ny,xh,cy,yea,sva,km,tl,kru,ur,iu,ce,sw,cv,tcx,fy,uk,uz,lzz,bo,ms,li,be
hunt,,,,,kəˈsa,,,,,,,,ˈvɒdaːsik,,,ˈjɑːˌɡa,,,,,,,kaˈθaɾ,,ˈʃaɫ̪ak,,,,ˈlovɪt,,,,kɐ.ˈsaɾ,isˁ.tˁaː.da,,,,,sʰa̠ɲja̠ŋɦa̠da̠,,,ʔəmɛ́laɪʔ,,,,,,,,,,,,,,,,,,,ˈʃɛlʲɪɟ,,ˈveiːða,,,si.kaɹ kɔ.ɹa,,,lɔˈʋiːti,,,,,,,,,,,,,,,pɔˈlɔ.vat͡ɕ,ɐˈxotʲɪt͡sə,,,,,,,,,san˧˧ ʔɓan˧˦,,katˈtʃare,,,,,,,nädiruä,vɔɾˈsɑl,ˈweː.nor,,,,,,,,,ˈjaːɡən,,mʲɛˈdʲʒʲotʲɪ,ˈjo.en,,,,ʃa.se,,ka̠ɾɯ̟ᵝ,nädirɔbä,ˈjaːɡə,,,,,ˈjaːɣə(n),,,,,,litʰχwær,prpāñ´,,,,,,,,,,,,äbdʒɔbä,,,,palʲaˈvat͡sʲ
sea,,,,,ˈmar,,,,moˈrɛ,,,,ˈtɛŋɡɛr,,hɑːʋ,ɧøː,,,,,,,ˈmaɾ,s̪ɐ.mud̪.ɽɐ́,,,,,mor̝ɛ,,,,maɾ,baħr,,,ˈθalasa,,pa̠da̠,mɔːr,,pɪ̀ɴlɛ̀,,ˈmoːʁ,,,ˈmeri,,,,,,,tʰa˦˥.leː˧,,,,,,,,,haːv,hɛaːv,,xaɡɔɹ,ˈma.re,,ˈmóːrjɛ,,,,,,,,,dæˈniz,,,,denˈd͡ʒɨs,,ˈmɔ.ʐɛ,ˈmorʲe,,,dʲiŋˈɡɪ̞ð,,,,deŋið,,ʔɓiən˧˩,,ˈmaːre,bæhr,,,ˈbaːħɐr,,,zʁvä,t͡sɔv,ˈma.re,,,,,,jūːɾa,ûːlwâːnɮe,,meːɐ̯,dɛt,ˈjuːrɐ,miːə̯,,,,mɛʁ,haːi˥,⟨umi1⟩,zʁvä,hav,dæɾˈjɒː,taɮai,ˈmɔrɛ,,zeː,,,,moːr,,dzuʁwä,smud̥r,,,,,,,,,seː,,,zuʁä,,laot,,
sky,,,,,ˈsɛl,,,,nɛˈbɛ,,,,ˈeːɡ,,,,,,ɑsˈpɑn,,,,firmaˈmento,,,,la.ŋit,,ˈnɛbɛ,,,,ˈsɛw,sa.maːʔ,,,,,ha̠nɯɭ,,hask,káʊɴɡɪ̀ɴ,,ˈo.abl,,ˈkelu,ˈtɑi̯ʋɑs,lœχ,,,,,,faː˦˥,,ˈθɛ.ʊ,,,,akaʃ,eːɾˠ,,ˈhɪːmɪnː,ˈhiːmɪn,,akax,t͡ʃer,,nɛˈbóː,,,,,,,,ˈɡœcjyz̟y,ɡœj,ˈlɑŋet,,,,,ˈɲɛ.bɔ,ˈnʲebə,,,kʏk,ɑsˈmɑn,,,,,t͡ɕəːj˨˩,,ˈt͡ʃɛ.lo,,,,,,,tsä,jɛɾˈkiŋkʰ,ˈkae̯.lum,,,,,,,,,ˈhɪml̩,,dɐŋˈɡʊs,ˈhimel,,,,sjɛl,ɓɯn˨˦,so̞ɾa̠,tsä,,ɒːsˈmɒːn,,ˈɲɛbɔ,,ˈɦeː.məl,,,,ˈau̯ɨ̞r,,dɛts,megʰ,,,,,,,,,,,,tsä,*gnam,laŋet,,ˈnʲeba
at,,,,,a,,tʰiː˧˧,,,vɔ,,,,,poː,poː,,,,,,,en,,,,,,u,,,,ˈa,ˈʕind̪æ,,,ˈston,,,,,m̥à,,,,,,,,,,,,tʰiː˥˩,,,,,,,ə,,,ʊiː,,,la,,pri,,,,,,,,,,,,poː,,pəɾ,u,vɛ,,,,,,,,,,,a,,,,,,,,,in,,,,,,,,,an,ˈnə,pɐs,,,,,a,,de̞,zɛ,,dæɾ,,,,ɔp,,,,ʊrθ,,ʒi,,,,,,,,,,,,,,*la,di,,
far,,,,,ʎuˈɲa,,,,dəˈlɛtʃɛn,,,,ˈmɛsːɛ,,,,,,,,,,,,,,,,ˈdalɛkiː,,,,ˈlõ.ʒɨ,ba.ʕiːd,,,makriˈa,,,,ˈləre,wékwà,,,,,ˈkɑukɑine̞n,,,,,,,klaj˧,,,,,,,ˈfˠɑd̪ˠə,,,,,,deˈpar.te,,ˈdàːlɛtʃ,,,,,,,,uˈzac,uˈzɑχ,,,,,d̪uːɾ,daˈlɛ.kʲi,dɐˈlʲɵkʲɪj,,,ɑˈɫɯ̞θ,,,,,,saː˧˧,,lonˈtano,,,,,,,ʃɔri,hɛˈru,ˈpro.kul,,,,,,tâːls,,,fɛʁn,,,,,,,lwɛ̃.tɛ̃,,,ʃɔri,,,χɔɬ,,ʁaˈχɔk,vɛr,,,,pɛɬ,,dʒwɛdiä,c̥ʰṅāy,,,,,,,,,,,,mɛndrä,,d͡ʒaoh,,daˈlʲokʲi
bad,,,,,doˈlent,,,,,,,,ˈrosː,,,ˈdoː.lɪ(ɡ),,,(d)ʒaˈman,,,,ˈmalo,,ˈt̪ɔnə,,bu.ruʔ,d͡ʒaman,ˈʃpatniː,,,,ʁuˈĩ,saj.jiʔ,,,kaˈkos,,na̠p͈ɯda̠,,bəd,sʰó,,,,,,,,,,,,leːw˧,,,,,,kʰaɾap,ˈd̪ˠʊnˠə,,ˈvɔntʏr,ˈɪtlʊɹ,,bɛa,rəw,,ˈsláp,,,,,,,,,pis,,,,,,zwɨ,plɐˈxoj,,,nɑ.ˈsɑr,,,,,,səw˧˦,,kaˈtːiːvo,,,,ħɐˈziːn,,,gläχä,vɑt,ˈma.lus,,,,,,,,,ʃlɛçt,,ˈbloːɡɐs,,,,,mo.vɛ,,ɰᵝa̠ɾɯ̟ᵝi,tsudi,dɔːli,bæd,mõː,ˈzɫiː,,slɛxt,,,,druːɡ,,χɔlä,ʾāk̥rk´,,,,,,,,,,,,pʼätʼi,,,,ˈdrenːɨ
snake,,,,,ˈseɾp,,ŋuː˦˥,,zmiˈja,,,,ˈkiːɟoː,,,ˈʊrm,,,,,,,serˈpjente,s̪ɐɽ.pɐ́,,,,,ɦat,,,,ˈkɔ.bɾa,θuʕ.baːn,,,ˈfiði,,pe̞ːm,,,mwè,,ˈnaɛr,,,ˈkæːrmeˣ,slɑŋ,ˈkea̯rpmaʃ,,,,,ŋuː˧,,ˈsɛɾpe̝,,,,ʃɑp,ˈn̪ˠæhəɾʲ,ʃlaŋ(ɡ),ˈstnauːkʏr,,,xap,ˈʃarpe,,ˈkàːtʃa,,,,,,,,jɯ.ˈɫɑn,,,,,,sɑ̃ːp,vɔŋʂ,zmʲɪˈja,kuˈlɛv,,jɯ̞.ˈɫɑn,jilɑn,,,jɯlaːn,,zan˧˦,,serˈpɛn.te,mɔːr,,,,,,gvɛri,ɔt͡sʰ,ˈan.ɡʷis,,,,,,tʃūska,íɲôːɠa,,ˈʃlaŋə,ˈɟ͡ʝaɾpəɹ,ɡʲiːˈʋaːtʲeː,ʃlaːŋ,,,,sɛʁ.pɑ̃,ŋɯ˧˩,pemi,gvɛli,,mɒːɾ,mɔɢɔi,ˈɦat,naˈχaʃ,slɑŋ,,ˈⁿd͡ʒó.ka,,nei̯dr,,hwidʒ,bs´,,,sãp,,,ˈɲɔ.kɑ,,,,,,tsʼitsʼilä,*zbrul,ula(r),,zʲmʲaˈja
one,ɬɑ̂ːʔìː,ˈjɛk,,,ˈun,o:dit,nɯŋ˧˧,ondə,,,,,ˈɛɟː,onnə,,ɛt,ondə,,,,ondi,tʲɨwɜnʲ,ˈuno,ɐ́j.kɐ,ɯːn,,sa.tu,,ˈjɛdɛn,,,,ˈũ,waː.ħid,,ranɖi,ˈe̞na,oɾɾo:ʈ,ha̠na̠,,,tɪʔ,,ˈỹː.nãn,okuʈi,,ˈyksi,,ˈokːta,,,,,nɯŋ˨˩,,,akʼɨ,nɛːn,okko:t,æk,iːnˠ,,eitn,,,ɛk,ˈu.nu,,,ma.ja,,,tsʰz̩˨˩,ok,,,biɾ̝̊,,,asit,,,,ˈjɛ.dɛn,ɐˈdʲin,,ɪkː˧,bɪ̞r,bir,,,,o:nd,mot̚˧˨ʔ,ʋandə,ˈuno,,,ondu,,ondʒi,,ärtʰi,mɛk,ˈuː.nus,,,okaʈi,,onnə,viɛ̂ns,,,aɪ̯ns,ɲə,,eːn,,,,œ̃,it˥,it͡ɕi̥,ɛrtʰi,,jekʲ,niɡ,ˈjɛdɛn,,eːn,,ˈmó.d͡zi,,ɨːn,ondʒu,ɛʃχu,muay,iˈsa,o:nd,,,,,pʲɘˈrʲːe,uttə,,oˈdɪn,,är,*kt͡ɕik,satu,,
root,,ˈɾɛh,,,əˈrɛl,bʰulo:gam,hâːk,pe:ɾə,ˈkɔrɛn,,,,ˈɟøkeːr,ʋe:ɾə,ruːt,,be:ɾə,,,,hi:ɾ,,raˈiθ,,,,,,ˈkor̝ɛn,,,,ʁa.ˈis,d͡ʒa.ða.ra,,ʋeɾ,,ʋe:ɾ,p͈uɾi,,,ʔəmjɪʔ,,,kuɾe,,,,ˈruo̯htas,,,,,raːk̚˥˩,,raˈiθ,,,ʋe:ɾkam,,fʲɾʲeːvˠ,,rouːt,ɹɔuːt,,xia,,,kɔrɛˈnìːna,,ʀɛ.sɛn,,,vār,,rraˈis,,kœk,,ɾo:tɛ,,,d͡ʒəɽ,ˈkɔ.ʐɛɲ,ˈkorʲɪnʲ,,,tɑˈmɯ̞r,,,,,banda:,ze˦ˀ˥,bja:ɾə,raˈditʃe,reʃæ,,be:ɾu,,be:ɾu,,dʒindʒi,ɑɾˈmɑt,ˈraː.diːks,,,ʋe:ɾu,,ʋe:ɾə,,ímpâːnde,,ˈvʊʁt͡sl̩,rəːɲ,ʃɐkʲˈn̪ʲɪs̪,ˈvuə̯t͡səl,,,,ʁa.sin,,ne̞,pʰɛsvi,roːd,ɾeːʃæ,untəs,ˈkɔrɛɲ,ˈʃoʁɛʃ,ˈʋɔr.təl,,ˈmu.zu,,ɡwrai̯ð,be:ɾə,tsʼusχund,ṛs,,pa:da,d͡ʒəɽ,,,,,ʋeɾ,,ˈkɔrʲinʲ,,dʒidʒi,*rt͡sa.ba,aka(r),,ˈkoranʲ
mountain,tsɪɬ,ˈt͡ʃiːjɑː,,,,ʋe:ʈume,pʰu᷄ː,male,pləniˈna,,,,ˈhɛɟ,malai,fjɛlː,bɛrj,kundə,,,,meʈʈa,,monˈtaɲa,pɐ́ɽ.ʋɐ.t̪ɐ,,,,,ˈɦora,,,,mõ.ˈtɐ.ɲɐ,d͡ʒa.bal,,,ˈo̞ro̞s,gubal,sʰa̠n,,ɣar,tàʊɴ,,,kappe,,ˈʋuo̯ri,,ˈvaːrriː,,,,,pʰuː˧,,monˈtaɲa̝,,slʲuː,danɖime:ʈ,pɔrbɔt,ʃlʲiəvˠ,,fjatl,fjatl,,,ˈmuntɛ,,ɡɔ̀ːra,,,,bo˧˧,tūk,,,dɑː,,,maʃ,,,pə.ɦɑːɽ,ˈɡu.ra,ɡɐˈra,,,tɑw,tɑʁ,,,,be:ɖo paha:ɖi,nuj˧˦,bəʈʈə,monˈtaɲɲa,,,beʈʈa,,da:ɾi,,gɔlä,lɛr,mons,,,konɖa,,mala,kâlns,íntaːɓa,,bɛrk,mal,ˈka͡l.nɐs,biə̯χ,,,,mɔ̃.taɲ,pʲa˨˦,ja̠ma̠,mtʰä,bjɛrv,kuːh,ʊːɮ,ˈɦɔra,haʁ,bɛrx,,ˈpʰi.ɽi,íⁿtaːɓa,ˈmənɨ̞ð,kundə,läχw,b̥ʰnṃ,,paɾta,pəhɑːɽ,,,,,tiʈʈə,bɛrx,ɦɔˈrɑ,,gɔlä,*ri,ɡunoŋ,,
give,,,,,doˈna,tej,mɔːp˥˦,koɖu,ˈdavəm,,,,ˈɒd,kuɖə,,jeː,koɖi,,,,hi,,ˈdaɾ,,,,bəri,,ˈdaːvat,,,,ˈdaɾ,ʔaʕ.tˁaː,,taa,,i:m,t͡ɕuda̠,,,pé,,ˈrɛĩ,tʃi,,ˈɑntɑːˣ,,,,,,,haj˥˩,,,,,si:ta:n,,ˈt̪ˠuːɾʲ,,ˈcɛːva,t͡ʃeːʋa,,,da,,ˈdati,,,,,cī,,,veɾ.mec,verˈmæk,,tinning,,,d̪eː.nɑː,ˈda.vat͡ɕ,dɐˈvatʲ,,,,,,,,tʃiba:h,t͡ɕɔ˧˧,koɖ,ˈda.re,dɔːdæn,,koɖu,,koɾo,,mɛtʃämä,tɑl,doː,,,itʃtʃu,,koɖukkuga,duôt,,,ˈɡeːbən,,ˈduɔtʲɪ,,,,,dɔ.ne,haɯ˥,*ataperu,mitsɛmä,ɡiː,d̪ɒːˈd̪æn,oɡəx,,,ˈɣeːvə(n),,ˈpa.t͡sa,,r̥ɔi̯,koɖu,lihwdi,o̥y,,tʃihna,d̪ena,,,,,ittʃadta,jaːn,,,mɛtʃämu,,bəri,,
egg,,,,ˈlɪ.ɪ,ˈɔw,mooʈə,kʰāi,moʈʈe,jəiˈt͡sɛ,ˈjajt͡sɛ,,,ˈtojaːʃ,muʈʈe,ɛɡː,ɛɡː,muʈʈe,,,,mi:ndʒ,,ˈwebo,,u,,,,ˈvɛjt͡sɛ,,,,ˈo.vu,,,tala,ta.oˈa,gaɾbam,ta̠ɭɡja̠ɭ,ɔˑɪ,həɡəi,ʔṵ,,,kaɾbə,,,ˈəiər,ˈmonniː,,,,,kʰaj˨˩,,ˈɔ.βʊ,,au,sanku,ɖim,uː,,ˈɛkː,ɛkː,,kɔ.ni,ow,,ˈjàːjtsɛ,,,,,tūk,,,jumuɾˈta,jumurˈtɑ,,xuahae,,,ən.ɖɑː,ˈja.jɔ,(j)ɪjˈt͡so,,,kʏˈkæj,,,,,ɾaɾapa:ndu,t͡ɕɨŋ˧˦,mujɾgi,ˈwɔ.vo,tuxm,,moʈʈe,ˈbɐjdɐ,ketti,,märkʰväli,d͡zu,ˈoː.wum,,,guɖɖu,,muʈʈa,uōla,íːǃaːndá,,aɪ̯,,,e,,,,œf,kʲai˧˥,ta̠ma̠ɡo̞,kʼvɛrtsχi,ɛːɡ,t̪ʰoχm,,ˈvajt͡sɛ,,ɛi̯,,ˈd͡zi.ɽa,íkǃaːⁿd̥ǎ̤,uːɨ̯,muʈʈe,ləgrɛ,s′ut,ʔitˈloɡ,bi:,,,,,,muʈʈe,aːi̯,,,mäkʰväli,*zɡoŋ.ŋa,təlo(r),,ˈjajka
five,ɑ̀ʃtˡɑ̀ʔ,,,,ˈsiŋk,,haː˨˩,,,,,,ˈøt,,,fɛm,,,,,,lˠalʲɘmʲ,ˈθinko,pɐ́ɲ.t͡ɕɐn̪,koːɡ̊ʲ,,,,ˈpjɛt,,,,ˈsĩ.ku,xam.sa,,,ˈpe̞(n)de̞,,ta̠sʰʌ̹t̚,,pinˈdzə,ŋá,,ˈpɛmp,,,ˈʋiːsi,,ˈvihːta,,,,,haː˥˩,,,xʷpa,kwɛɡ,,,kuːɟ,fɪnf,fɪmː,fɪmː,,pãs,t͡ʃint͡ʃʲ,,péːt,,,,ŋɯ˧,,,siŋk,beʃ,beʃ,,,,,pɑ̃ːt͡ʃ,pʲɛɲt͡ɕ,pʲætʲ,,,bʲiʃ,bɛʃ,,,,,nam˧˧,,ˈt͡ʃin.kwe,,,,,,,χutʰi,hiŋɡ,ˈkʷiːn.kʷe,,,,,,pìɛtsi,,,fʏnf,pɛs(ə),,ˈfenef,,,,sɛ̃k,,it͡sɨᵝ,χutʰi,,pʰænd͡ʒ,tʰaw,ˈpɛc,,vɛi̯f,,,,pɨ̞mp,,wɔχuʃd,p̥rāṃ,liˈma,,pãtʃ,,,,ˈpʲilʲːɘkʲ,,,ˈpjɑtʲ,,χutʰ,*lŋa,limə,,
short,,,,,ˈkuɾt,,,,ˈkɤs,ˈkratɔk,,,ˈrøvid,,,kɔrt,,,,,,,ˈkorto,,ˈkɤɾʲɪtʲ,,,,ˈkraːtkiː,,,,ˈkuɾ.tu,qa.sˁiːr,,,,,t͡ɕ͈a̠ɭt͈a̠,,,tò,,,,,ˈlyhyt,,,,,,,san˥˩,,,,,,,ɟaːɾˠ,,ˈstʏhtʏr,,,su.ti,skurt,,ˈkràːtək,,,,,,,,,ɡɯˈsɑ,,,kɔʈ,,kəm,ˈkrut.kʲi,kɐˈrotkʲɪj,,,qɯ̞θ.ˈqɑ,,,,,,ŋan˧˦,,ˈkorto,,,,,,,kʼuntʼä,kɑɾt͡ʃ,ˈkur.tus,,,,,,îːs,,,kʊʁt͡s,,,,,,,kuʁ,,mʲiʑika̠i,mɔkʼlɛ,kɔrt,kʰuːˈt̪ʰɒːh,pɔɡʲən,ˈkraːtki,,kɔrt,,,,bɨ̞r,,kʼudæ,k̥ʰlī,,,t͡ʃʰoː.ʈɑː,,,,,,,kɔˈrɔtkei̯,,mkʼulɛ,,,,kaˈrotkʲi
because,,,,,pəɾˈkə,,,,,,,,ˈmɛrt,,,,,,,,,,ˈporke,,ˈɔir,,,,ˈprotoʒɛ,,,,poʁ.ˈke,li.ʔan.na,,,,,t͈e̞mun,,ˈdzəka tʃe,lo̰,,,,,,,,,,,,pʰrɔʔ˦˥,,,,,,,oːɾʲ,,,tʊiː,,,ˈpen.tru kə,,kɛr,,,,,,,,tʃynky,ˈt͡ʃynki,,,,,ˈkjũ.ki,bɔ,pətɐˈmu‿ʂtə,,,ˈsʏ̞n.kʲi,,,,,,taːj˧˨ʔ vi˨˩,,perˈke,,,,,,,räχäns,vɔɾɔfhɛˈtɛv,ˈkʷi.a,,,,,,,,,vaɪ̯l,,nʲɛs,væl,,,,paʁ.skə,,,rädgän,,,,ˈprɛtɔʒɛ,,ɔm.ˈdɑt,,t͡ʃiˈfu.kʷá,,ˈaχɔs,,läχä,b̥roḥ,,,,,,,,,,bɔ,,ɔkʰi,*ɡaŋ.jin.zer.na,kə.ra.nə,,
tooth,,,,,ˈdent,pal,kʰɛːw˨˩,hallə,zɤp,,,,ˈfoɡ,pallə,tɑnː,ˈtand,pallə,,,,pal,,ˈdjente,d̪ɐ́n̪.t̪ɐ,,,ɡi.ɡi,,zup,,,,ˈdẽ.tɨ,san.na,,palu,ˈðɔndi,palk,i,,ɣɑʂ,θwá,,,pa:lkill,,ˈhɑmːɑs,,,,,,,fan˧,,,,,palku,d̪ɑt̪,ˈfʲiəkəlʲ,tsɔn,tʰœnː,tʰɔnː,,dãt,ˈdinte,,ˈzóːp,,,,dʐz̩˧,pel,,,diʃ,diʃ,,danda:n,,,d̪ɑ̃ːt̪,zɔmp,zup,,d̪ənd̪,tɪ̞ʃ,t͡ʃiʃ,,,diːʃ,pa:ldu,zaŋ˧˧,pallə,ˈdɛnte,dændɔːn,,hallu,ˈsɪnːɐ,ku:li,,kʼibiri,ɑˈtɑm,dens,,,pannu,,pallə,zùops,îːzîːɲo,,t͡saːn,,,,,,ìɣɛ̀ɣɔ̀ꜜ,dɑ̃,heːu˥,ha̠,kʼbili,tan,dændɒːn,ʃud,ˈzup,,tɑnt,,ˈd͡zí.no,,dant,pallu,ʃdikʰ,d̥ʰmeñ,,pall,d̪ãt̪,,,,,paɾse,,,,kʼibiri,*so,ɡiɡi,,
fall,,ˈkɛtɯn,,,ˈkaw.ɾə,,,,ˈpad̪əm,,,,ˈɛʃik,,,falːa,,,,,,,kaˈeɾ,pɐ́.t̪ɐ.t̪i,t̪uʰtʲ,,,,ˈpadat,,,,kɐˈiɾ,wa.qa.ʕa,,,,,nʌ̹mʌ̹d͡ʑida̠,,,t͡ɕa̰,,,,,ˈkɑːtuɑˣ,fal,,,,,,tok̚˨˩,,,,,,ˈpɔɽa,tʲɪtʲ,,ˈfatla,fatl,,pɔ.ɹa,kəˈde̯a,,ˈpaːsti,,,,,,,,,dyʃˈmæk,,,,,ɡɪɾ.nɑː,ˈspa.dat͡ɕ,ˈpadətʲ,,,,,,,,,ŋaː˦ˀ˥,,kaˈdere,,,,,,,dɔntʰχäpʰä,əŋkˈnɛl,ˈka.doː,,,,,,,,,ˈfaln̩,ˈbiɛ,,,,,,tɔ̃.be,,ot͡su,dätsɛmä,,oftʰɒːˈdæn,ʊnəx,,,ˈvɑlə(n),,,,ˈsərθjɔ,,liwɛχ,d̥ʰlāk´,,,ɡɪrˈna,,,,,,,ˈpadatɪ,,gɛntʰχinu,,,,
dog,,,,ǹ.tʃá,ˈɡos,na:ji,maː˩˨,ne,ˈkutʃɛ,,,,ˈkucɒ,na:ji,,hɵnd,na:ji,,,,nej,,ˈpero,ɕʋɐ́n̪,kuː,,aɲ.dʒiŋ,,pɛs,,,,ˈkɐ̃w̃,kalb,,,ˈscilos,nej,ke̞ː,kiː,,kʰwé,,,ne,,ˈkoi̯rɑ,ɦɔnt,ˈpea̯na,,,,tʃa.ˈkur,maː˩˩˦,xaɟ,,,ˈmɔːðə,a:te,kukuɾ,ˈmˠad̪ˠɾˠə,hʊnt,ˈhʏntʏr,ˈhʊntʊɹ,,kukuɹ,ˈkɨj.ne,,ˈpə́s,,,,kʰɯ˧,netta,,ˈɡus,cøˈpec,,,kutʃak,,,kʊt̪.t̪ɑː,pʲɛs,sɐˈbakə,,,ɪ̞t,it,,,,kutʃtʃo,t͡ɕɔ˧˦,na:jə,ˈka.ne,sæɡ,,na:ji,kɛlp,na:ji,,dʒɔʁɔri,ʃun,ˈka.nis,,,kukka,,na:ja,,îːɲdʒá,,hʊnt,cɕɛn,ʂuə,hont,,,,ʃjɛ̃,ma˨˦,inɯ̟ᵝ,dzäʁli,hun,sæɡ,nɔxɔi,ˈpɛs,,ɦɔnt,,ˈɡa.ɽú,íːⁿd̥ʒǎ̤,kiː,na:ji,ʒɛʁ,c̥ʰkae,,alla,kutɑː,,,,,noi,huːn,,,dʒɔʁɔri,*kʰʲi,and͡ʒeŋ,,
sun,,,,,ˈsɔl,su:rijan,taː˩˨ wen˦˥,ottə,ˈslɤntsɛ,ˈsɔnt͡sɛ,,,ˈnɒp,su:ɾjan,suːl,suːl,su:ɾja,,,,poɾə,,ˈsol,s̪úːɽ.jɐ,,,,,ˈslunt͡sɛ,,,,ˈsɔɫ,ʃams,,ʋeda,ˈi.ʎos,poɖudu,he̞,,lmar,nè,,,ʋele,,ˈɑu̯riŋko,,ˈpea̯jvvaːʃ,,,,,dua̯ŋ˧.ʔaː˧.tʰit̚˦˥,,s̺ol,,ɡriːn,suɾija,,ɟɾʲiənˠ,zʊn,souːl,sɔuːl,,be.li,ˈso̯are,,ˈsóːntsɛ,,,,,tūk,,suˈlel,ɟyˈneʃ,ɡʲyˈnæʃ,,de,,,,ˈswɔɲ.t͡sɛ,ˈsont͡sə,,,qʊ̞ˈjɑʂ,,,,ɡyn,be:ɾdu,mat̚˧˨ʔ t͡ɕəːj˨˩,pottə,ˈso.le,ɔftɔb,izûːba,su:rja,ʃɛmʃ,su:ɾje,,bʒä,ɑˈɾɛv,,,,su:ɾjuɖu,,su:ɾjan,sāūle,íːlaːnɡa,,ˈzɔnə,,ˈsɑuleː,zon,,,ɾiòáꜜ,sɔ.lɛj,taŋ˨˦ ŋon˧˩,,mzɛ,soːl,,,ˈsɫ̩ŋkɔ,,,,ˈd͡zú.w⁽ᵝ⁾a,ílaːᵑɡ̊a̤,haɨ̯l,tʃu:rja,miʒ,t̥ʰṅai,,bi:ɖi,,,,,,su:ɾijan,,ˈsɔnt͡sɛ,,mʒɔrä,*ȵi.ma,matəhari,,ˈsont͡sa
skin,,ˈt͡ʃɛɾm,,,ˈpeʎ,to:lu,,to:lə,ˈkɔʒə,,,,ˈbøːr,to:lə,,hʉːd,to:lə,,,,to:l,,,,,,,,ˈkuːʒɛ,,,,ˈpɛ.lɨ,d͡ʒild,,,ˈðɛɾma,to:l,sʰa̠ɭɡa̠t̚,,,ʔəjè,,ˈkʁoːχɛn,tal,,ˈiho,,ˈlijːkiː,,,,,pʰiw˩˩˦.naŋ˩˩˦,,,,ˈkraːɣən,to:l,,ˈkɾˠacən̪ˠ,heɪt,huːð,,,sal,ˈpjele,,ˈkòːʒa,,,,,tōl,,pɛl,,dæˈri,,sil,,,t̪ʋə.t͡ʃɑː,ˈsku.ra,ˈkoʐə,,,tʲi.ˈrɪ̞,,,,,tʃa:na,zaː˧˧,to:lə,ˈpɛlle,pɵːst,,togalu,ˈdʒɪldɐ,tʃeɾma,,tʼqʼɛbi,mɑʃk,ˈku.tis,,,to:lu,,toli,âːda,isíkʰuːmba,,haʊt,ləkuɹə,ˈôːd̪ɐ,hæu̯t,,,,po,naŋ˨˦,,kʼäni,,poːst,arʲs,ˈkɔʒa,ɔʁ,ɦœy̯t,,ˈkʰu.ᵑɡú,,kroːɨ̯n,to:lu,kʼæn,s̥paek,ba.ˈlat,tʃapʈa,t̪ʋətʃaː,,,ˈŋɡɔ.zi,,tu:ɾs,,,,tʼkʼɛbi,,kulet,,ˈskura
sew,,,,,kuˈzi,,,,ˈʃijə,,,,ˈvɒrː,,,,,,,,,,ko.ˈser,,,,,,,,,,,xajtˁ,,,,,ˈkiːp̚t͈a̠,,,t͡ɕʰoʊʔ,,,,,,,,,,,,jep̚˦˥,,,,,,,,,ˈsøyːma,,,xia,,,,,,,,,,,,,,,,,,ʂɨt͡ɕ,ʂɨtʲ,,,,,,,,,xəw˧˧,,kuˈtʃire,,,,,,,tʃʼälä,kɑˈɾɛl,ˈsu.oː,,,,,,ʃūːt,,,ˈnɛːən,,ˈsʲuːtʲɪ,ˈbitsen,,,,kudʁ,,nupu,kʼɛrvä,syː,,,,taˈfar,ˈnaːjə(n),,,,,,liʃχbi,,,,,,,,,,,,,ɔtʃʼu,,,,ʂɨt͡sʲ
some,,,,,,,,,,,,,,,,ˈnoːˌ(ɡ)ra,,,,,,,,,,,,,ˈɲɛkolɪk,,,,al.ˈɡũʃ,,,,,,mjʌ̹t̚,,,tət͡ɕʰo̰,,,,,,,,,,,,baːŋ˧,,,,,,,ɾˠəɪn̠ʲtʲ,,,,,,,,,,,,,,,,,,,,nuː.en,,t̪ʰoɽaː,ˈtrɔ.xɛ,nʲɪˈmnoɡə,,,,,,,,,mot̚˧˨ʔ ʔit̚˧˦,,,,,,,,,nämtʰinɛ,,,,,,,,,,,,,,,,,,dy,,,zɔgi,noən,,,ˈɲi̯ɛkɔʎkɔ,,ʋɑt,,,,,,ɛrχi,,,,,,,,,,,ˈkilʲka,,bäzi,,,,
