word,sl,km,be,ka,kfb,ku,th,cy,pl,af,tcx,tcy,mk,fo,kxv,ug,bn,tr,fr,vro,yi,lb,is,gon,ko,bo,pt,hu,he,brh,sq,zu,oc,en,sa,sk,tl,az,ga,nl,mn,kfa,xub,et,kn,my,liv,ny,lo,kru,es,gdb,ro,lt,fi,za,vot,sv,uk,ur,ta,vi,kfe,da,nn,bfq,la,hy,de,id,br,lzz,gv,mt,fa,krl,el,cs,sva,ms,te,yea,ca,hi,ar,ml,bg,kff,xmf,tg,ps,vep,ru,it,ja,fy,se,lv,gd,gl,mjt,pci,ba,as
walk,,ṭoer,,siäruli,naɖus,,dɤːn˧,ˈkɛrðɛd,iɕt͡ɕ,lʊəp,naɖaɾɾə,naɖapaɾa,ˈɔdi,,,,,,maʁ.ʃe,ˈkːæymæ,,ˈɡo.en,ˈkauŋka,taka,ˈkɘːt̚t͈a̠,*ɡom.pa.rɡʲak,ɐ̃.ˈdaɾ,ˈjaːr,,tʃeɾɾing,ˈɛtsi,,,wɔːk,,ˈiːsc,,jeriˈmæk,ʃuːlʲ,ˈloːpə(n),,naɖa,naɖi,ˈkæimɑ,naɖə,ʃaʊʔ,ˈkæːd̪ɨ,,ɲaːŋ˧˧,e:kʰna,kamiˈnaɾ,tukud,ˈmer.d͡ʒe,ˈɛjːtʲɪ,ˈkæʋelːæ,,ˈtʃæymæː,ɡoː,,,naɖə,ʔɗi˧˧,naɖʋu,ɡɔː,,naɖəʋadə,ˈɡra.di.or,kʰɑjˈlɛl,ˈlaʊ̯fən,,,gɔlvä,,,,ˈkævelːæ,,jiːt,lizɛläl,,naɖutʃu,naɖa,kə.miˈna,ʈɛːʱl.nɑː,ma.ʃaː,naɖakkuga,ˈxɔdʲə,naɖam,gilulä,ɡæʃtæn,,ˈkæveltæ,xɐˈdʲitʲ,kammiˈnare,a̠ɾɯ̟ᵝkɯ̟ᵝ,,,iɛ̂t,,,he:kpo,tūk,,kʰʊz.kaʴɦa
hit,,vāy,,rtʼqʼmä,,,tiː˧,ˈtarɔ,uˈdɛ.ʐat͡ɕ,,,,,,,,,,fʁa.pe,ˈlɨːmæ,,,stlauː,,t͡ɕʰida̠,,ɡow.pe.ˈaɾ,ˈyt,,,,,,hɪt,,ˈudri̯ɛc,,,,ˈraːkə(n),,,,ˈløːmɑ,,jaɪʔ,ˈrɑbːɨ,,,,,,,,ˈlyødæ,,ˈløː,,,marna,,ʔɗəp̚˧˨ʔ,,slɔː,,,,χəˈpʰɛl,ˈʃlaːɡən,,,gɛtʃämu,,,zæˈd̪æn,ˈlyːvːæ,,,liqʼɛr,,,,kol.pəˈʒa,ˈmɑːɾ.nɑː,dˁa.ra.ba,,,,mɛgämä,,,ˈlødɑ,ʊdɐˈrʲætʲ,kolˈpire,ɯ̟ᵝt͡sɨᵝ,,,,ˈbuɪl,,,,,
heavy,ˈtɛ̀ːʒək,d̥ʰṅn´,ˈt͡sʲaʂkʲi,mdzimɛ,,,nak̚˨˩,trʊm,ˈt͡ɕɛŋ.ʂkʲi,,,,ˈtɛʒɔk,,,,,ɑˈɰɯ́ɾ̝̊,luʁ,ˈrɑsːsːɤ,,ʃwɜɪ̯ɐ,ˈθuŋkʏr,,muɡʌ̹p̚t͈a̠,,pɨ.ˈza.ðu,ˈnɛɦeːz,,,,,,ˈhɛ.vi,,ˈcaʃ.kiː,,,t̪ˠɾˠuːmˠ,zʋaːr,xunt,,,ˈrɑske,,lé,ˈlæːlɑm,,,,peˈsado,,ɡrew,sʊŋˈkʊs,ˈrɑskɑs,nak˥,ˈrɑskɑs,tɵŋ,ʋɐˈʒkɪi̯,,,naŋ˧˨ʔ,,tɔnɡ,tʊŋː,,ˈɡra.wis,ˈtsɑnəɾ,ʃveːɐ̯,,,mɔnkʼä,,,sæŋˈɡʲiːn,ˈjykie,,ˈcɛʃkiː,gwæmi,bərat,,,,bʱɑː.ɾɑː,θa.qiːl,,ˈtɛʒək,,mɔnkʼä,,d̪ruŋd̪,ˈjyged,tʲɪˈʐolɨj,peˈsante,o̞mo̞i,swiər,,smaks,,,,,ɑˈwɯ̞r,ɡɔ.dʱuɹ
human,tʃlɔˈʋèːʃki,,,ädämiäni,,,,,ˈlut͡s.kʲi,,,,,,,,,,y.mɛ̃,ˈinemine,,,,,ˈsʰa̠ːɾa̠m,,u.ˈmɐ.nu,ˈɛmbɛri,,,,,,ˈ(h)juːmən,mɑː.n̪ɐ.ʋɐ́,,,,,,,,,ˈinimene,,,ˈriʃt̪iːng,,,,uˈma.no,,o.meˈnesk,,ˈihminen,,ˈinemin,²mɛnsklɪ(ɡ),,,,,,,,,,mɑɾtʰkɑˈjin,mɛnʃlɪç,,,kʼɔtʃi,,,,ˈihmini,,ˈlɪtskiː,ämswäld,,,,uˈma,,ba.ʃa.rijj,,,,kʼɔtʃi,,,ˈristit,t͡ɕɪlɐˈvʲet͡ɕɪskʲɪj,,⟨pi1to2⟩,,,,,,,,,ma.nuʱ
lake,ˈjéːzɛrɔ,pẏṅ,ˈvozʲera,tʼbä,,,saːp̚˨˩,ɬɨ̞n,jɛˈʑɔ.rɔ,,,,,vaʰtn,,køl,,ɟœl,lak,ˈjærv,,zɜɪ,vaʰtn,,ɸʷo̞sʰu,*mt͡sʰo,ˈla.ɣu,ˈtoː,,,liˈcɛn,íːǀʰiːɓí,,leɪk,,ˈjazɛrɔ,,ɡœl,l̪ˠɔx,meːr,nʊːr,,,ˈjærʋ,,kàɴ,ˈjoːrɑ,ˈɲa.ⁿd͡ʒá,nɔːŋ˩˨,,ˈla.ɡo,,,ˈæːʒʲɛɾɐs,ˈjærʋi,hu˧˩,ˈʝɑrvi,ɧøː,ˈɔzerɔ,,,ho˨˩,,søː,,,ˈla.kus,lit͡ʃ,zeː,,,tʼɔbä,laːx,aˁːˈdiːr,dæɾjɒːˈtʃʰe,ˈjærvi,,ˈjɛzɛro,tʼɔb,taseʔ,,,ˈʎak,d͡ʒʱiːl,bu.ħaj.ra,,ˈɛzɛro,,tʼɔbä,kɵl,,ˈjærvʲ,ˈozʲɪrə,ˈlaɡo,mʲizɨᵝɯ̟ᵝmʲi,,ˈjaːvːriː,æzæɾs,,ˈlaɣo̝,,,kʏl,bil
many,ʋɛˈlìːkɔ,c̥roen,,bɛvri,peɾe,ˈɡɛlɛk,,,ˈvʲɛ.lɛ,bajə,uppu:m,ba:ɾi,ˈmnɔɡu,ˈmɛŋkʊɹ,,,,tʃɔk,bo.ku,ˈpːɑlːʲo,aˈsax,,ˈmarkʏr,dʒa:sta,ˈma̠ːnɯn,,ˈmũj̃.tuʃ,ˈʃok,,ba:z,,,,ˈmɛni,bɐ.ɦú,,,t͡ʃɔχ,əˈl̪ˠɑːnˠ,veːl,,dumba,kajɾijə,ˈpɑlju,halaʋu,mjá,ˈpæːgiɲ,,,bagge,ˈmut͡ʃos,tukud,mult͡sʲ,dɐuɡ,ˈmontɑ,,ˈmitːomɑ,,bɐˈɦɑtɔ,,palə,ɲiaw³³,i:dʒo:ɖ,manɡə,,appaɾa,ˈmul.tiː,ʃɑt,ˈfiːlə,baɲak,,didɔ,,,zɪˈjɒːd,ˈæijæ,,ˈmnoɦo,mäsærd,baɲak,nānā,tumba,ˈmolt,bɔˈhɔt̪,ka.θiːr,pala,,tʃa:la,brɛli,,ɖer,ˈæi,ˈmnoɡə,,,,,dāūdz,ˈiməɣ,,di:kehi,tūk,kʏp,
snow,,b̥ril,sʲnʲex,tʰɔvli,,,hi˨˩.maʔ˦˥,ˈei̯ra,ɕɲɛk,sniu,,,,,,,bɔrɔf,kaɾ,nɛʒ,ˈlumi,,ʃnɜɪ,snjouːr,,nun,*ɡaŋs,ˈnɛ.vɨ,ˈhoː,ˈʃeleɡ,,,íːǃʰwa,ˈnɛw,snəʊ,ɦi.mɐ́,ˈsɲɛx,,,ˈʃnʲaxt̪ˠə,sneːu̯,t͡sʰas,,,ˈlumi,,n̥ɪ́ɴ,ˈlum,,,,ˈnjebe,,zəˈpadə,sʲnʲjæɡɐs,ˈlumi,nai˨˦,ˈlumi,snøː,ˈsʲnʲiɦ,,,twiət̚˧˦,,,snøː,,niks,d͡zjun,ʃneː,,,mtʰviri,ˈʃnʲaxt̪ə,,,ˈlumi,,sɲiːx,musw,,,,ˈnew,bə.ɾəf,θald͡ʒ,,snʲak,,tʰiri,,wɑˈwra,ˈlumi,sʲnʲek,ˈne.ve,⟨yuki1⟩,sniə,ˈmuo̯hta,snìɛks,,ˈnɛβɪ,,,qɑr,bɔɹɔf
three,ˈtríːjɛ,pī,,sämi,,,saːm˩˩˦,triː,tʂɨ,,,,,trʊdʒɪr,,yt͡ʃ,,,tʁwɑ,ˈkːolm,dʁaj,dʀæi̯,θriːr,,sʰe̞ːt̚,*ksum,ˈtɾeʃ,ˈhaːrom,,,tɾɛ,,tres,θɹiː,t̪ɽí,ˈtri,tatˈlɔ,ʏtʃ,tʲɾʲiː,dri,ɢʊrəw,,,ˈkolm,,θóʊɴ,ˈkuolm,,saːm˩˧,,tɾes,,trej,,ˈkolme,θaːm˨˦,ˈkɤlmɤd,treː,trɪ,,,ʔɓaː˧˧,,,,,treːs,jɛˈɾɛkʰ,dʁaɪ̯,ti.ɡa,,sum,t̪riː,,,ˈkolme,ˈtri.a,tr̝ɪ,sɛmi,tiɡə,,,ˈtɾəs,t̪in,θa.laː.θa,,,,sumi,,d̪re,ˈkuːme,trʲi,tre,*/sam,,ˈkolːpma,trîːs,,,,,ʏ̞s,tini
dog,ˈpə́s,c̥ʰkae,,dzäʁli,a:te,,maː˩˩˦,kiː,pʲɛs,ɦɔnt,noi,na:ji,,ˈhʊntʊɹ,,it,kukuɾ,cøˈpec,ʃjɛ̃,ˈpːini,hʊnt,hont,ˈhʏntʏr,nej,ke̞ː,*kʰʲi,ˈkɐ̃w̃,ˈkucɒ,,kutʃak,cɕɛn,îːɲdʒá,ˈɡus,dɒɡ,ɕʋɐ́n̪,ˈpɛs,,,ˈmˠad̪ˠɾˠə,ɦɔnt,nɔxɔi,na:ji,na:jə,ˈkoer,na:ji,kʰwé,ˈpiɲ,ˈɡa.ɽú,maː˩˨,alla,ˈpero,ne,ˈkɨj.ne,ʂuə,ˈkoirɑ,ma˨˦,ˈkoirɑ,hɵnd,,kutɑː,na:ji,t͡ɕɔ˧˦,na:ji,hun,,ne,ˈka.nis,ʃun,hʊnt,aɲ.dʒiŋ,,dʒɔʁɔri,ˈmɔːðə,kɛlp,sæɡ,ˈkoirɑ,ˈscilos,pɛs,ʒɛʁ,and͡ʒeŋ,kukka,na:ji,ˈɡos,kʊt̪.t̪ɑː,kalb,na:ja,ˈkutʃɛ,nej,dʒɔʁɔri,sæɡ,,ˈkoir,sɐˈbakə,ˈka.ne,inɯ̟ᵝ,huːn,ˈpea̯na,,kuː,,kutʃtʃo,netta,ɪ̞t,kukuɹ
cloud,ɔˈbláːk,bbk,ˈxmara,ʁrubɛli,a:bar,,meːk̚˥˩,ˈkʊmʊl,ˈxmu.ra,vɔlk,me:gam,mo:ɖa,,skʊt͡ʃː,ha:gu,,,buˈɫ̩ut,ny.aʒ,ˈpːilv,,ˈvolək,sciː,mabbu,kuɾɯm,*sprin.pa,ˈnu.vɐj̃,ˈfɛlɦøː,(ʕ)aˈnan,dʒammaɾ,,íːfu,,klaʊd,mɐj.ɡʱɐ́,,,,ˈsˠkamˠəl̪ˠ,ʋɔlk,,mo:ɖa,mo:ɖə,ˈpilʋ,mēgha,tèɪɴ,ˈpiːlɑ,mˈta.ᵐbo,mêːk,bada:li,,tukud,nor,,ˈpilʋi,fɯ˥,ˈpilvi,,,meːɡʱ,me:gam,məj˧˧,me:gam,,ʃyː,mandʒu,,ɑmp,ˈvɔlkə,,ˈku.mul,pʼulä,,ˈsħaːbɐ,(ʔ)æbɾ,ˈpilvi,ˈsinɛfɔ,mrak,mɛrɛ,a.wan,me:gʰamu,mo:ɖa,,meːɡʱ,sa.ħaː.bah,mekʰam,,mabbu,munäpʰä,,,ˈpilvʲ,ˈobləkə,ˈnu.vo.la,⟨kumo1⟩,,ˈpalːva,,ɲiaɫ̪,,badli:,malgur,bʊ̞ˈɫʊ̞t,daɔɹ
wide,,l̥h,ʂɨˈrokʲi,pʰärtʰɔ,,,kwaːŋ˥˩.jaj˨˩,ˈɬədan,ʂɛˈrɔ.kʲi,,,,,ˈpɹaijʊɹ,,,,vaːˈsiː,laʁʒ,ˈlɑkʲɑ,,bʀeːt,ˈpreiːðʏr,,nʌ̹ɭt͈a̠,,ˈlaɾ.ɡu,ˈseːlɛʃ,,,ˈɟ͡ʝɛ.ɾə,,,waɪd,,,ma.ˈla.pad,,ˈl̠ʲahənˠ,,ɵrɡəŋ,,,ˈlɑi,,t͡ɕɛ̀,ˈlɑigɑː,,kwaːŋ˥˧,,ˈaɲ.tʃo,,larɡ,,ˈleʋeæ,,ˈlɑdʲdʲɑ,viːd,ʃeˈrɔkei̯,,,zəwŋ͡m˧˨ʔ,,,,,ˈlaː.tus,lɑjn,bʀaɪ̯t,,,mbɔli,,,,ˈlevei,,ˈʃɪrokiː,mäʃri,,,,,t͡ʃɔː.ɽɑː,waː.siʕ,,ʃiˈrɔk,,pʰärtʰɛ,,,ˈleved,ʂɨˈrokʲɪj,ˈlarɡo,,,,plats,,,,,ˈkʲiŋ,bɔ.ɦɔl
cold,,rṅā,xaˈɫodnɨ,tsivi,pani,,jen˧,oːɨ̯r,ˈʑim.nɨ,kœut,koɾti,tʃappa,,,,,,soˈɰuk,fʁwɑ,ˈkːylm,,kaːl,ˈkʰaltʏr,sallag,t͡ɕʰa̠n,*ɡraŋ.mo,ˈfɾi.u,ˈhidɛɡ,,jakʰ,,,,kəʊld,,,laˈmiɡ,soˈjuχ,fˠuəɾˠ,kɑu̯t,,talindʒadə,səjlijə,ˈkylm,taɳɳige,ʔé,ˈkiːlmɑ,,,ki:ɾna,ˈfɾio,tukud,ˈret͡ʃe,ˈʃaltɐs,ˈkylmæ,,ˈtʃylmæ,kal,xɔˈlɔdnei̯,,kuɭiɾtʃi,lajŋ̟˧˨ʔ,koɾʋə,kɔl,,koɾuʋə,ˈal.ɡi.dus,ˈsɑrə,kalt,,,qʼini,,ˈkɪːsɐħ,sæɾd,ˈkylmæ,,ˈstudɛniː,mətsχi,səd͡ʒoʔ,tʃalla,taɳidʒe,ˈfɾət,ʈʰən.ɖɑː,baː.rid,taɳuppə,stuˈdɛn,salla:,ʔini,,soɻ,ˈkɑuged,xɐˈlodnɨj,ˈfreddo,t͡sɨᵝme̞ta̠i,,,āūksts,fuəɾ,ˈfɾiʊ,panija:,pañil,hɯ̞.ˈwɯ̞q,
cut,rézati,kāt´,,tʃʼrä,,,tat̚˨˩,ˈtɔrɪ,t͡ɕɔɲt͡ɕ,,,,,,,,kɑʈɑ,cesmec,ku.pe,ˈlɤikːɑmɑ,,,ˈscɛːra,,k͈ɯntʰa̠,,kuɾˈtaɾ,ˈvaːɡ,,,,,,kʌt,,ˈrɛzac,,kæsˈmæk,ɟaːɾˠ,ˈsnɛi̯də(n),,,,ˈlɤikɑmɑ,,kaɪʔ,ˈiːe̞d̪ɨ,,,,,,,,ˈleikɑtɑ,,ˈlɤikɑtɑ,ˈɧæːˌra,,,,kat̚˧˦,,skɛːrə,,,ˈin.se.koː,kətˈɾɛl,,,,ɔtʃʼkʼiru,,,boɾiːˈdæn,ˈleikɑtɑ,,ˈr̝ɛzat,likʰtʃɛ,,,,təˈʎa,kɑːʈ.nɑː,,,,,tʃʼkʼiruä,,,ˈtʃɑptɑ,ˈrʲezətʲ,taʎˈʎare,kʲiɾɯ̟ᵝ,,,ɡrīɛ̄st,kʲaːrˠ,,,,,kɔ.ta
one,,muay,,ɛrtʰi,okko:t,ˈjɛk,nɯŋ˨˩,ɨːn,ˈjɛ.dɛn,,uttə,ondʒi,,,ranɖi,bir,æk,biɾ̝̊,œ̃,ˈytːsː,,eːn,eitn,ondi,ha̠na̠,*kt͡ɕik,ˈũ,ˈɛɟː,,asit,ɲə,,,wʌn,ɐ́j.kɐ,ˈjɛdɛn,iˈsa,,iːnˠ,eːn,niɡ,ondə,ʋandə,ˈyks,ondu,tɪʔ,ˈikʃ,ˈmó.d͡zi,nɯŋ˧˧,o:nd,ˈuno,okuʈi,ˈu.nu,,ˈyksi,it˥,ˈyhsi,ɛt,oˈdɪn,,onnə,mot̚˧˨ʔ,o:dit,,,ondə,ˈuː.nus,mɛk,aɪ̯ns,sa.tu,ˈỹː.nãn,är,nɛːn,,jekʲ,ˈyksi,ˈe̞na,ˈjɛdɛn,ɛʃχu,satu,okaʈi,ondʒu,ˈun,,waː.ħid,onnə,,oɾɾo:ʈ,ärtʰi,,,ˈyksʲ,ɐˈdʲin,ˈuno,it͡ɕi̥,,ˈokːta,viɛ̂ns,ɯːn,,o:nd,ok,bɪ̞r,ɛk
name,iˈméː,j̥ʰmoḥ,jiˈmʲa,säχɛli,pe:ɾ,ˈnɑːv,t͡ɕʰɯː˥˩,ˈɛnʊ,ˈi.mʲɛ,,pe:ɾ,pudaɾə,,naun,doru,ɑt,nam,ɑt̪,nɔ̃,ˈnimi,nɔmɛn,num,napn,poɾol,iɾɯm,*miŋ,ˈno.mɨ,ˈneːv,,pin,ɛməɾ,îːɡâːma,,neɪm,n̪ɑ́ː.mɐn̪,ˈmɛnɔ,,ɑd,ˈanʲəmʲ,naːm,nir,peda,pja:ɾə,ˈnimi,hesaru,ʔəmjì/,ˈnim,ˈd͡zí.na,sɯː˦˦,na:me,ˈnom.bɾe,tukud,ˈnu.me,ˈvɐrːdɐs,ˈnimi,,ˈnimi,namn,iˈmjɑ,,pe:ɾə,ten˧˧,pe:ɾ,,,esaɾə,,ɑˈnun,ˈnaːmə,,,dʒɔχɔ,,ˈiːsɛm,nɒːm,ˈnimi,ˈo̞no̞ˌma,ˈjmɛːno,ʒäχɛ,namə,pe:ɾu,pe:ɾu,ˈnɔm,naːm,ism,peɾə,ˈimɛ,pedeɾ,säχɛli,nɔːm,,ˈnimi,ˈimʲə,ˈno.me,na̠ma̠e̞,,ˈnamma,vàːɾds,,,na:mi,pidir,iˈsɪ̞m,
freeze,,,,gäqʼinvä,,,kʰɛŋ˩˩˦,,zaˈmar.zat͡ɕ,,,,,,,,,,ʒə.le,ˈkːylmæmæ,,ˈfʀei̯ʀen,ˈfrjouːsa,,ˈɘːɭda̠,,ʒe.ˈla(ɻ),,,,,,,ˈfɹiːz,,,,,,bəˈvrizə(n),,,,ˈkylmumɑ,,,ˈkilmɨ,,,,eˈlaɾ,,,,ˈjæːtyæ,,ˈʝæːtyæ,,,,,ʔɗawŋ͡m˧˦ ʔɓaŋ˧˧,,,,,ˈɡe.loː,,ɡəˈfʁiːʁən,,,ɔqʼinu,,,,ˈjiædyø,,ˈzmr̩zˌnɔʊ̯t,likʼwrɛmi,,,,,d͡ʒəm.nɑː,,,,,ʔinuä,,,ˈjædudɑ,zəmʲɪrˈzatʲ,dʒeˈlare,,,,,rˠɔː,ʃeˈaɾ,,,,
tie,,cṅ,,däbmä,,,joːŋ˧,,ˈvʲɔ̃.zat͡ɕ,,,,,,,,,ˈbɑːɫamac,lje,ˈkːøytːmæ,,,,,muk̚t͈a̠,,ɐˈtaɾ,ˈkøt,,,,,,taɪ,,,,,,ˈknoːpə(n),,,,ˈsidumɑ,,t͡ɕʰì/,ˈsid̪ːɨ,,,,aˈtaɾ,,,ˈrʲɪʃʲtʲɪ,ˈsitoɑ,,ˈsiotːɑː,,,,,kot̚˧˨ʔ,,benə,,,ˈli.ɡoː,kɑˈpɛl,ˈbɪndn̩,,,mɛkʼiru,,,,ˈsituo,,ˈpr̝̊ɪvaːzat,libɛm,,,,,,,,,,dɔkʼiruä,,,ˈsidodɑ,ˈsvʲazɨvətʲ,leˈɡare,,,,,,,,,,bɔn.dʱa
vomit,,k̥ʾuat,,rtsʼqʼɛvä,,,ʔaː˧.t͡ɕia̯n˧,,vɨ.mʲɔˈtɔ.vat͡ɕ,,,,ˈpɔvraca,,,,,,vɔ.miʁ,ˈosːsːɤntɑmɑ,,ˈkɑtsən,ˈaiːla,,ke̞uda̠,,vu.mi.ˈtaɾ,ˈhaːɲ,,,,,,ˈvɒmɪt,,,,ɡusˈmɑχ,ˈaʃɪɟ,,,,,ˈoksendɑmɑ,,ʔàɴ,ˈoksnɨ,,,,,,,,ˈoksentɑː,,ˈɤhsɤnɤɑ,,,,,non˧˧,,,,,ˈwo.moː,,ˌyːbɐˈɡeːbən,,,ɔntʰχɔru,,,,ˈoksenduɑ,,,litʼχunɛ,muntah,,,vo.miˈta,,ta.qaj.ja.ʔa,,,,rtsʼqʼiälä,,,ˈoksetɑ,blʲɪˈvatʲ,vomiˈtare,,,,,,,,,,bɔ.mi kɔ.ɹa
child,ɔˈtrɔ́k,kūn,,bävʃvi,,ˈzɑːɾok,luːk̚˥˩,ˈplɛntɨ̞n,ˈd͡ʑɛt͡s.kɔ,kənt,,,ˈdɛtɛ,ˈpatn,,ˈbɑlɑ,,t͡ʃo̞ˈd͡ʒuk,ɑ̃.fɑ̃,ˈlɑtːsː,kɪnd,kant,ˈpartn,,ʌ̹ɾini,,ˈfi.ʎu,ˈɟɛrɛk,ˈje.led,,,uḿ̩ntwaːna,,t͡ʃaɪld,ɕí.ɕu,ˈɟi̯e.ca,,uˈʃɑχ,ˈpˠɑːʃtʲə,kɪnt,,,,ˈlɑps,,kʰəlé,ˈlæpʃ,,,,ˈixo,,fiw,ˈvɐɪ̯ˑkɐs̪,ˈlɑpsi,lɯk˧,ˈlɑhsi,bɑːrn,deˈtɪnɐ,,,ʔɗɨə˧˦ ʔɓɛ˧˦,,barn,bɑːrn,,ˈfiː.li.us,jɛɾɛˈχɑ,kɪnt,,,bɛrɛ,,,bætːʃʰe,ˈlɑpsi,peˈði,ˈɟiːcɛ,bɛpʰʃw,anaʔ,,,ˈnən,bət͡ʃ.t͡ʃɑː,tˁifl,,dɛˈtɛ,,bäʁänä,kɵdæk,,ˈlɑpsʲ,rʲɪˈbʲɵnək,bamˈbi.no,ko̞do̞mo̞,bɛːn,ˈmaːnnaː,bæ̀ːɾns,,ˈne.na,,,bɑˈɫɑ,sɔli
see,ˈʋiːdɛti,gʰoeñ,ˈbat͡ʂɨt͡sʲ,χɛdvä,ta:na,ˈdiːtɯn,hen˩˩˦,ɡwɛld,ˈvʲi.d͡ʑɛt͡ɕ,,nu:ʈ,tuʋa:ɾa,ˈɡlɛda,ˈsʊt͡ʃːa,,,ˈd̪ækʰa,ɟœɾmɛc,vwaʁ,ˈnækemæ,,ɡeˈzin,ˈsjauː,huɖa,po̞da̠,*mtʰoŋ,veɾ,ˈlaːt,,unning,,ɓoːná,,siː,pɐ́ɕ.jɐ.t̪i,ˈviɟi̯ɛc,kiˈta,ɡœrˈmæk,fʲɛc,zin,ut͡səx,no:ʈə,no:ɖ,ˈnægemɑ,no:ɖu,twḛ,ˈnæːd̪ɨ,,hen˩˧,je:ɾna,ˈbeɾ,tʃu,veˈde̯a,mɐˈtʲîːtʲɪ,ˈnæhdæ,,ˈnæhæ,seː,ˈbɑt͡ʃete,d̪ekʰnaː,kāṇ,ɲin˨˩ tʰəj˧˦,no:ʈə,seː,ʃoː,no:ɖə,ˈwi.de.oː,tɛsˈnɛl,ˈzeː.ən,,,ɔtsʼkʼɔmilu,,,d̪iːˈd̪æn,ˈnæhæ,ˈvlepo,ˈvɪɟɛt,lisgdi,lihat,tʃu:ɖu,no:ku,ˈvəw.ɾə,d̪eːkʰ.nɑː,ra.ʔaː,ka:ɳuka,ˈviʒdəm,u:ɖa,rtsʼqʼɛbä,diˈdan,,ˈnæhtɑ,ˈvʲidʲɪtʲ,veˈde.re,mʲiɾɯ̟ᵝ,,ˈoɑ̯jːtniːh(t),ɾɛdzɛ̂ːt,,,ʈunɖpo,tūk,,dɛkʰa
heart,sərˈtséː,peḥṭūṅ,ˈsert͡sa,guli,gunɖe,,hua̯˩˩˦.t͡ɕaj˧,ˈkalɔn,ˈsɛr.t͡sɛ,,manasə,mannə,ˈsr̩t͡sɛ,ˈjaɹ̥ʈa,,,,jyˈɾɛc,kœʁ,ˈsːyæ,,,ˈçar̥ta,guɳɖe,,*zȵiŋ,ko.ɾa.ˈsɐ̃w̃,ˈsiːv,,ust,ˈzɛməɾ,ínɬizíːjo,kɔr,hɑːt,ɦŕ̩.d̪ɐ.jɐ,sr̩tsɛ,,ɡælb,kɾˠiː,ɦɑrt,,hrudaja,jaddi,ˈsydɑ,hrudaya,n̥əlóʊɴ,ˈsid̪ɑːm,mˈtí.ma,tɕai˩˨,buka,koɾaˈθon,dʒibe,ˈinimə,ʃʲɪrʲˈdʲɪs,ˈsydæn,θim˨˦,ˈsyæ,ˈjɛrˌta,ˈsɛrt͡se,,idajam,tim˧˧,nendʒu,jɛrtə,²jɑrtə,,kor,siɾt,hɛʁts,d͡ʒan.tʊŋ,ˈkalɔ̃n,guri,kriː,ˈʔɐlp,del,ˈsyvæin,karˈðʝa,ˈsr̩t͡sɛ,gwi,d͡ʒantoŋ,hɾudajamu,nendʒi,ˈkɔr,d̪ɪl,qalb,hɾudajam,sərˈt͡sɛ,guɳɖeka:ja,guri,dil,zɻə,ˈsydæin,ˈsʲert͡sə,ˈkwɔːre,ɕĩnd͡zo̞ː,hɛt,ˈvaːjːpmuː,sîɾts,,,hugli:,tūk,jʏ̞.ˈræk,dil
water,,dẏk,vaˈda,tsʼqʼäli,i:ɾ,,naːm˦˥,duːr,ˈvɔ.da,ˈvɑːtər,ni:ɾ,ni:ɾə,,vaʰtn,eju,su,dʒɔl,ˈsu,o,ˈvesːi,,ˈvaːsɐ,vaʰtn,jeɾ,muɭ,*t͡ɕʰu,,ˈviːz,,di:r,ˈujə,ámáːnzi,,ˈwɔːtə,ɐ́p,ˈvɔda,ˈtu.biɡ,su,ˈɪʃcɪ,ˈʋaːtər,ʊs,ni:ɾə,ni:ɾə,ˈʋesi,ni:ɾu,jè,ˈve̞ʒ,ˈma.d͡zí,nam˥˦,amm,ˈaɡwa,ni:r,ˈapə,,ˈʋesi,ɣam˦˨,ˈvesi,ˈvatːɛn,wɔˈdɑ,pɑːniː,taɳɳi,nɨək̚˧˦,ni:ɾ,vand,ˈʋɑtn̩,ni:ɾə,ˈa.kʷa,d͡ʒuɾ,ˈva.sɐ,a.ʔɪr,ˈduːʁ,tsʼkʼäri,ˈuʃtʲə,,ɒːb,ˈvesi,neˈro,ˈvoda,lits,,ni:ɾu,ni:ɾu,ˈaj.ɡwə,pɑː.niː,maːʔ,ʋellam,,e:ɾu,tsʼqʼäri,ɔːb,obə,ˈvezi,vɐˈda,,⟨mi1du⟩,ˈvɛtər,ˈt͡ʃaːht͡siː,ûːdɛns,ˈɯʃkʲə,ˈaw.ɡa,hamdu,nīr,hɯ̞w,pa.ni
